name,shared name,type,avgExpression
BACE2,BACE2,HSA21gene,2.25829294270263
NFKB1,NFKB1,GeneralTF,-0.296044343759716
CREBBP,CREBBP,NeuroDisease,-0.0271907807650148
SUMO3,SUMO3,HSA21gene,0.345752489264753
SPI1,SPI1,GeneralTF,0.0
STAT3,STAT3,NeuroDev,-0.101429880817253
DSCAM,DSCAM,HSA21gene,1.01094467786949
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
APP,APP,HSA21gene,0.696731563295763
NOTCH1,NOTCH1,NeuroDev,-0.0001437683355424
TLE1,TLE1,None,-0.0828449613489
PARP1,PARP1,GeneralTF,0.0377910152959942
RUNX1,RUNX1,HSA21TF,0.654284266741855
ITGB2,ITGB2,HSA21gene,0.0
POU2F2,POU2F2,GeneralTF,0.137864004285052
TCF12,TCF12,NeuroDisease,0.0198461693368645
TBP,TBP,GeneralTF,0.070617698073007
GABPA,GABPA,HSA21TF,0.601451678662171
RRP1B,RRP1B,HSA21gene,0.567840954054768
ASCL1,ASCL1,NeuroDev,0.586933273420678
