source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
JAK2,IFNGR2,True,True,False,False,False,False,3,HPRD:7514165;Macrophage:7901766;SIGNOR:23898330,HPRD;Macrophage;PhosphoPoint;SIGNOR,post_translational,23898330;7514165;7901766,3,4,4
IFNGR2,JAK2,True,True,False,True,True,False,5,HPRD:7514165;Macrophage:7901766;SIGNOR:23898330;SignaLink3:16381926;SignaLink3:23331499,HPRD;Macrophage;SIGNOR;SignaLink3;Wang,post_translational,16381926;23331499;23898330;7514165;7901766,5,5,5
ESR1,AR,True,True,False,False,False,False,6,CancerCellMap:11000528;HPRD:12389206;NetPath:11000528;NetPath:11032808;SignaLink3:11000528;SignaLink3:23331499,CancerCellMap;HPRD;NetPath;SignaLink3,post_translational,11000528;11032808;12389206;23331499,4,4,4
AR,ESR1,True,True,False,True,True,False,8,CancerCellMap:11000528;HPRD:12389206;NetPath:11000528;NetPath:11032808;SignaLink3:11000528;SignaLink3:12389206;SignaLink3:18988627;SignaLink3:23331499,CancerCellMap;HPRD;NetPath;SignaLink3,post_translational,11000528;11032808;12389206;18988627;23331499,5,4,4
ESR1,NRIP1,True,True,False,False,False,False,13,BioGRID:7641693;HPRD:7641693;LMPID:11078741;LMPID:16990259;LMPID:9192902;Lit-BM-17:16439465;Lit-BM-17:21182203;Lit-BM-17:26153859;Lit-BM-17:26166704;Lit-BM-17:7641693;Lit-BM-17:8887632;Lit-BM-17:9115274;Lit-BM-17:9192902,BioGRID;HPRD;LMPID;Lit-BM-17;Wang,post_translational,11078741;16439465;16990259;21182203;26153859;26166704;7641693;8887632;9115274;9192902,10,5,5
NRIP1,ESR1,True,True,True,True,True,False,18,BioGRID:7641693;HPRD:7641693;LMPID:11078741;LMPID:16990259;LMPID:9192902;Lit-BM-17:16439465;Lit-BM-17:21182203;Lit-BM-17:26153859;Lit-BM-17:26166704;Lit-BM-17:7641693;Lit-BM-17:8887632;Lit-BM-17:9115274;Lit-BM-17:9192902;SignaLink3:12554755;SignaLink3:16439465;SignaLink3:23331499;SignaLink3:7641693;SignaLink3:8887632,BioGRID;HPRD;LMPID;Lit-BM-17;SignaLink3;Wang,post_translational,11078741;12554755;16439465;16990259;21182203;23331499;26153859;26166704;7641693;8887632;9115274;9192902,12,6,6
PRKACA,TIAM1,True,True,False,True,True,False,6,Adhesome:10212259;Adhesome:10734127;Adhesome:9407095;CA1:10212259;CA1:9407095;HPRD:10212259,Adhesome;CA1;HPRD;PhosphoPoint;Wang,post_translational,10212259;10734127;9407095,3,5,5
TIAM1,PRKACA,True,True,False,False,False,False,6,Adhesome:10212259;Adhesome:10734127;Adhesome:9407095;CA1:10212259;CA1:9407095;HPRD:10212259,Adhesome;CA1;HPRD,post_translational,10212259;10734127;9407095,3,3,3
PRKACA,ESR1,True,True,True,True,True,False,9,HPRD:9891036;PhosphoSite:22266331;PhosphoSite:9891036;ProtMapper:15193262;ProtMapper:9891036;SIGNOR:15193262;SIGNOR:9891036;iPTMnet:15193262;iPTMnet:9891036,HPRD;HPRD_MIMP;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM_MIMP,post_translational,15193262;22266331;9891036,3,12,7
PRKACA,HES1,True,False,True,True,False,True,6,HPRD:9389649;KEA:17570479;KEA:9389649;ProtMapper:9389649;SIGNOR:9389649;iPTMnet:9389649,HPRD;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NetworKIN_KEA;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM_MIMP,post_translational,17570479;9389649,2,14,7
PRKACA,AR,True,False,False,False,False,False,1,PhosphoSite:18511414,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper,post_translational,18511414,1,5,3
PRKCB,PRKACA,True,False,False,False,False,False,2,KEA:15364915;KEA:17570479,KEA;NetworKIN_KEA;phosphoELM_KEA,post_translational,15364915;17570479,2,3,1
