name,shared name,type,avgExpression
JAK2,JAK2,NeuroDev,0.0087607456294986
IFNGR2,IFNGR2,HSA21gene,0.614867772688703
ESR1,ESR1,GeneralTF,0.0
AR,AR,GeneralTF,-0.339977118911973
NRIP1,NRIP1,HSA21gene,0.401479191969281
PRKACA,PRKACA,NeuroDev,0.0459622210055297
TIAM1,TIAM1,HSA21gene,0.749437566349536
PRKCB,PRKCB,None,0.0724144116284888
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
MYC,MYC,GeneralTF,0.419796940702092
ETS2,ETS2,HSA21TF,0.417956594380445
RUNX1,RUNX1,HSA21TF,0.654284266741855
HES1,HES1,NeuroDev,-1.15141974049029
