source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
CDK2,MYC,True,True,False,True,True,False,13,KEA:17570479;ProtMapper:20445224;ProtMapper:22348395;ProtMapper:27653698;ProtMapper:29896817;SPIKE:19966300;dbPTM:15103331;dbPTM:17081983;dbPTM:17558397;dbPTM:18669648;dbPTM:19966300;dbPTM:20713526;dbPTM:8386367,KEA;NetworKIN_KEA;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SPIKE;Sparser_ProtMapper;dbPTM,post_translational,15103331;17081983;17558397;17570479;18669648;19966300;20445224;20713526;22348395;27653698;29896817;8386367,12,8,4
CDK2,RUNX1,True,True,True,True,True,True,8,KEA:17570479;ProtMapper:16046550;ProtMapper:17015473;ProtMapper:25914884;SIGNOR:16046550;SIGNOR:17015473;iPTMnet:16046550;iPTMnet:17015473,HPRD_MIMP;KEA;MIMP;NetworKIN_KEA;PhosphoSite_MIMP;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet,post_translational,16046550;17015473;17570479;25914884,4,12,5
CDK2,ID3,True,False,True,True,False,True,9,CancerCellMap:9372912;HPRD-phos:9372912;HPRD:9372912;KEA:9372912;ProtMapper:28122577;ProtMapper:9372912;SIGNOR:9372912;iPTMnet:9372912;phosphoELM:9372912,CancerCellMap;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,28122577;9372912,2,19,10
ITGB2,PTK2B,True,True,False,True,True,False,2,Adhesome:10961871;HPRD:10961871,Adhesome;HPRD;Wang,post_translational,10961871,1,3,3
PTK2B,ITGB2,True,False,False,False,False,False,2,Adhesome:10961871;HPRD:10961871,Adhesome;HPRD;PhosphoPoint;Wang,post_translational,10961871,1,4,4
PTK2B,ID3,True,False,False,False,False,False,2,PhosphoSite:25090023;PhosphoSite:9372912,PhosphoSite;PhosphoSite_noref,post_translational,25090023;9372912,2,2,1
CDK2,ETS2,True,False,False,False,False,False,1,KEA:17570479,KEA;NetworKIN_KEA,post_translational,17570479,1,2,1
DYRK1A,MYC,True,False,False,False,False,False,2,ProtMapper:24901999;iPTMnet:24901999,ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Sparser_ProtMapper;iPTMnet,post_translational,24901999,1,5,2
ETS2,ETS1,True,True,False,True,True,False,1,HPRD:9334186,HPRD;Wang,post_translational,9334186,1,2,2
CBS,CDK2,True,False,False,False,False,False,1,ProtMapper:21372285,ProtMapper;REACH_ProtMapper,post_translational,21372285,1,2,1
