source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
TCF4,ID2,True,True,False,True,True,False,19,ACSN:11708773;ACSN:11955436;ACSN:11967263;ACSN:12051714;ACSN:15181457;ACSN:15252039;ACSN:16940750;ACSN:17615296;ACSN:19751508;ACSN:22270359;ACSN:7542250;ACSN:8666229;HPRD:11591653;HPRD:9242638;IntAct:16549780;Lit-BM-17:25609649;Lit-BM-17:8576241;Lit-BM-17:9242638;Lit-BM-17:9584154,ACSN;HPRD;IntAct;Lit-BM-17;Wang,post_translational,11591653;11708773;11955436;11967263;12051714;15181457;15252039;16549780;16940750;17615296;19751508;22270359;25609649;7542250;8576241;8666229;9242638;9584154,18,5,5
ID2,TCF4,True,False,True,False,False,False,8,HPRD:11591653;HPRD:9242638;IntAct:16549780;Lit-BM-17:25609649;Lit-BM-17:8576241;Lit-BM-17:9242638;Lit-BM-17:9584154;SIGNOR:9242638,HPRD;IntAct;Lit-BM-17;SIGNOR;Wang,post_translational,11591653;16549780;25609649;8576241;9242638;9584154,6,5,5
NRIP1,AR,True,True,False,True,True,False,2,HPRD:9368054;NetPath:9368054,HPRD;NetPath;Wang,post_translational,9368054,1,3,3
TCF4,AR,True,False,True,True,False,True,2,HPRD:12799378;NetPath:12799378,HPRD;NetPath;Wang,post_translational,12799378,1,3,3
DYRK1A,ID2,True,False,False,False,False,False,1,ProtMapper:26735018,ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Sparser_ProtMapper,post_translational,26735018,1,4,1
MAP4K4,TCF4,True,False,False,False,False,False,1,ProtMapper:27447672,ProtMapper;REACH_ProtMapper;Sparser_ProtMapper,post_translational,27447672,1,3,1
AR,FOXP1,True,False,False,False,False,False,1,HTRIdb:20610535,DoRothEA;HTRIdb;ReMap_DoRothEA,transcriptional,20610535,1,3,2
AR,MAP4K4,True,False,False,False,False,False,1,HTRIdb:20610535,DoRothEA;HTRIdb;ReMap_DoRothEA,transcriptional,20610535,1,3,2
AR,RUNX1,True,False,False,False,False,False,1,HTRIdb:20610535,DoRothEA;HTRIdb;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,20610535,1,4,2
AR,TCF4,True,False,False,False,False,False,2,DoRothEA:12799378;HTRIdb:20610535,DoRothEA;HTRIdb;TRRUST_DoRothEA,transcriptional,12799378;20610535,2,3,2
ZNF225,AR,True,False,True,True,False,True,1,,PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA,transcriptional,,,4,0
ETS2,ZNF225,True,False,False,False,False,False,1,,RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA,transcriptional,,,3,0
ZNF225,TCF4,True,True,False,True,True,False,1,,PAZAR_DoRothEA;TFactS_DoRothEA;TRRUST_DoRothEA,transcriptional,,,3,0
RUNX1,FOXP1,True,False,False,False,False,False,0,,HOCOMOCO_DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,4,0
FOXP1,RUNX1,True,False,False,False,False,False,0,,JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,3,0
FOXP1,TCF4,True,False,False,False,False,False,0,,ARACNe-GTEx_DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,4,0
RUNX1,MAP4K4,True,False,False,False,False,False,0,,ARACNe-GTEx_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,3,0
