source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
SUMO3,CEBPA,True,False,False,False,False,False,2,HPRD-phos:12511558;HPRD:12511558,HPRD;HPRD-phos,post_translational,12511558.0,1.0,2,2
RUNX1,CEBPA,True,False,True,True,False,True,1,HPRD:17431401,HPRD;Wang,post_translational,17431401.0,1.0,2,2
ETS2,ETS1,True,True,False,True,True,False,1,HPRD:9334186,HPRD;Wang,post_translational,9334186.0,1.0,2,2
ZNF225,CEBPA,True,False,False,False,False,False,0,,ABS;PAZAR_DoRothEA,transcriptional,,,2,1
CEBPA,HES3,True,False,False,False,False,False,1,PAZAR:20219941,DoRothEA;PAZAR;PAZAR_DoRothEA,transcriptional,20219941.0,1.0,3,2
ETS1,ZNF225,True,True,False,True,True,False,2,DoRothEA:19074849;HTRIdb:19074849,DoRothEA;ENCODE-proximal;HTRIdb;HTRIdb_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA,transcriptional,19074849.0,1.0,8,3
ETS2,ZNF225,True,False,False,False,False,False,1,,RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA,transcriptional,,,3,0
ZNF225,HES3,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
ETS1,HES3,True,False,False,False,False,False,1,PAZAR:20019798,DoRothEA;PAZAR;PAZAR_DoRothEA,transcriptional,20019798.0,1.0,3,2
NFKB1,CREBBP,True,True,False,True,True,False,2,CA1:9660950;Macrophage:16835236,CA1;Macrophage;Wang,post_translational,16835236;9660950,2.0,3,3
CREBBP,NFKB1,True,True,False,False,False,False,2,Macrophage:16835236;SPIKE:12789342,Macrophage;SPIKE;Wang,post_translational,12789342;16835236,2.0,3,3
SUMO3,PARP1,True,False,True,True,False,True,1,SPIKE:19622798,SPIKE,post_translational,19622798,1.0,1,1
STAT3,SPI1,True,True,False,True,True,False,1,SPIKE:11889125,SPIKE,post_translational,11889125,1.0,1,1
DSCAM,STAT3,True,True,False,True,True,False,1,SIGNOR:30745319,SIGNOR,post_translational,30745319,1.0,1,1
DYRK1A,NOTCH1,True,False,True,True,False,True,1,SIGNOR:19383720,SIGNOR,post_translational,19383720,1.0,1,1
CREBBP,STAT3,True,True,False,True,True,False,3,HPRD-phos:15649887;HPRD:15649887;NetPath:11773079,HPRD;HPRD-phos;NetPath;Wang,post_translational,11773079;15649887,2.0,4,4
DYRK1A,STAT3,True,False,False,False,False,False,1,KEA:12763138,KEA;Kinexus_KEA,post_translational,12763138,1.0,2,1
APP,NOTCH1,True,True,False,True,True,False,1,BioGRID:16175584,BioGRID;Wang,post_translational,16175584,1.0,2,2
PARP1,NFKB1,True,True,False,True,True,False,1,HPRD:11590148,HPRD;Wang,post_translational,11590148,1.0,2,2
RUNX1,SPI1,True,False,True,True,False,True,0,,Wang,post_translational,,,1,1
NOTCH1,ASCL1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
CREBBP,ASCL1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
NFKB1,POU2F2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
TLE1,ASCL1,True,False,True,True,False,True,0,,Wang,post_translational,,,1,1
PARP1,ASCL1,True,False,True,True,False,True,0,,Wang,post_translational,,,1,1
ITGB2,NFKB1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
BACE2,NOTCH1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
POU2F2,ASCL1,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
TCF12,ASCL1,True,False,False,False,False,False,0,,ENCODE-distal,transcriptional,,,1,1
RUNX1,NFKB1,True,False,False,False,False,False,1,,PAZAR_DoRothEA;TRRUST_DoRothEA,transcriptional,,,2,0
POU2F2,SPI1,True,False,False,False,False,False,0,,ARACNe-GTEx_DoRothEA;FANTOM4_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA,transcriptional,,,5,0
SPI1,POU2F2,True,False,False,False,False,False,0,,ARACNe-GTEx_DoRothEA;ENCODE-distal;PAZAR_DoRothEA,transcriptional,,,3,1
POU2F2,STAT3,True,False,False,False,False,False,0,,ENCODE-proximal;ReMap_DoRothEA,transcriptional,,,2,1
STAT3,POU2F2,True,False,False,False,False,False,0,,ENCODE-distal;ReMap_DoRothEA,transcriptional,,,2,1
