name,shared name,type,avgExpression
ESR1,ESR1,GeneralTF,0.0
NRIP1,NRIP1,HSA21gene,0.401479191969281
CDK2,CDK2,None,-0.15365076430708
APP,APP,HSA21gene,0.696731563295763
MAPK8,MAPK8,None,0.0368909683300027
GSK3B,GSK3B,NeuroDev,0.0458953188157226
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
CBS,CBS,HSA21gene,0.0
IFNGR2,IFNGR2,HSA21gene,0.614867772688703
CTCF,CTCF,NeuroDisease,0.0427222023818481
NFKB1,NFKB1,GeneralTF,-0.296044343759716
RUNX1,RUNX1,HSA21TF,0.654284266741855
REST,REST,GeneralTF,-0.229631460825483
CELF4,CELF4,NeuroDisease,0.137738268990462
