source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
WNT1,DLX5,True,True,False,True,True,False,1,SPIKE:18495817,SPIKE,post_translational,18495817,1,1,1
AKT1,TTC3,True,True,False,True,True,False,5,IntAct:20059950;ProtMapper:20059950;SIGNOR:20059950;dbPTM:20059950;iPTMnet:20059950,IntAct;MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;dbPTM;iPTMnet,post_translational,20059950,1,10,6
TTC3,AKT1,True,False,True,False,False,False,2,IntAct:20059950;SIGNOR:20059950,IntAct;SIGNOR,post_translational,20059950,1,2,2
AKT1,DLX5,True,True,False,True,True,False,2,SIGNOR:21619873;SIGNOR:22298955,SIGNOR,post_translational,21619873;22298955,2,1,1
AKT1,TIAM1,True,False,False,False,False,False,1,PhosphoSite:25746002,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper,post_translational,25746002,1,3,2
TIAM1,AKT1,True,True,False,False,False,False,0,,Wang,post_translational,,,1,1
AKT1,ERG,True,False,False,False,False,False,0,,PhosphoSite_noref,post_translational,,,1,0
RUNX1,CTBP2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
E2F4,DLX5,True,False,False,False,False,False,1,HTRIdb:17531812,DoRothEA;HTRIdb;PAZAR_DoRothEA,transcriptional,17531812,1,3,2
GABPA,E2F4,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
E2F4,GABPA,True,False,False,False,False,False,0,,PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA,transcriptional,,,3,0
E2F4,RUNX1,True,False,False,False,False,False,1,HTRIdb:17531812,DoRothEA;HTRIdb;PAZAR_DoRothEA,transcriptional,17531812,1,3,2
RUNX1,TCF12,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
RUNX1,TIAM1,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
TCF12,DLX5,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
CTBP2,DLX5,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
CTBP2,WNT1,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
ERG,WNT1,True,True,False,True,True,False,1,SIGNOR:23913826,SIGNOR,transcriptional,23913826,1,1,1
