source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
SUMO3,CEBPA,True,False,False,False,False,False,2,HPRD-phos:12511558;HPRD:12511558,HPRD;HPRD-phos,post_translational,12511558,1,2,2
NRIP1,AR,True,True,False,True,True,False,2,HPRD:9368054;NetPath:9368054,HPRD;NetPath;Wang,post_translational,9368054,1,3,3
RUNX1,CEBPA,True,False,True,True,False,True,1,HPRD:17431401,HPRD;Wang,post_translational,17431401,1,2,2
AR,ERG,True,False,False,False,False,False,1,HTRIdb:20610535,DoRothEA;HTRIdb;ReMap_DoRothEA,transcriptional,20610535,1,3,2
ERG,AR,True,False,False,False,False,False,0,,IntAct_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
AR,ERG,True,False,False,False,False,False,1,,DoRothEA-reviews_DoRothEA,transcriptional,,,1,0
AR,RUNX1,True,False,False,False,False,False,1,HTRIdb:20610535,DoRothEA;HTRIdb;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,20610535,1,4,2
CEBPA,EBF1,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
CEBPA,RUNX1,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
EBF1,RUNX1,True,False,False,False,False,False,0,,ENCODE-proximal;ReMap_DoRothEA,transcriptional,,,2,1
AR,CEBPA,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535,1,1,1
AR,EBF1,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535,1,1,1
