source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
NRIP1,AR,True,True,False,True,True,False,2,HPRD:9368054;NetPath:9368054,HPRD;NetPath;Wang,post_translational,9368054,1,3,3
IFNAR2,STAT1,True,True,False,True,True,False,2,HPRD:11301323;InnateDB:9121453,HPRD;InnateDB;Wang,post_translational,11301323;9121453,2,3,3
IFNGR2,STAT1,True,False,False,False,False,False,1,ProtMapper:19174562,ProtMapper;Sparser_ProtMapper,post_translational,19174562,1,2,1
IFNAR1,STAT1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
AR,STAT1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
AR,ERG,True,False,False,False,False,False,1,HTRIdb:20610535,DoRothEA;HTRIdb;ReMap_DoRothEA,transcriptional,20610535,1,3,2
ERG,AR,True,False,False,False,False,False,0,,IntAct_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
AR,IFNAR1,True,False,False,False,False,False,1,HTRIdb:20610535,DoRothEA;HTRIdb;RegNetwork_DoRothEA;TRED_DoRothEA,transcriptional,20610535,1,4,2
AR,ERG,True,False,False,False,False,False,1,,DoRothEA-reviews_DoRothEA,transcriptional,,,1,0
AR,RUNX1,True,False,False,False,False,False,1,HTRIdb:20610535,DoRothEA;HTRIdb;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,20610535,1,4,2
GABPA,E2F4,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
E2F4,GABPA,True,False,False,False,False,False,0,,PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA,transcriptional,,,3,0
E2F4,IFNAR2,True,False,False,False,False,False,0,,PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA,transcriptional,,,3,0
E2F4,PBX3,True,False,False,False,False,False,1,HTRIdb:17531812,DoRothEA;HTRIdb;PAZAR_DoRothEA,transcriptional,17531812,1,3,2
E2F4,RUNX1,True,False,False,False,False,False,1,HTRIdb:17531812,DoRothEA;HTRIdb;PAZAR_DoRothEA,transcriptional,17531812,1,3,2
E2F4,STAT1,True,False,False,False,False,False,1,HTRIdb:17531812,DoRothEA;HTRIdb;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,17531812,1,4,2
STAT1,IFNGR2,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
STAT1,PBX3,True,False,False,False,False,False,1,PAZAR:17558387,DoRothEA;PAZAR;PAZAR_DoRothEA,transcriptional,17558387,1,3,2
STAT1,RUNX1,True,False,False,False,False,False,1,PAZAR:19122651,DoRothEA;ENCODE-proximal;PAZAR;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,19122651,1,5,3
AR,IFNGR2,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535,1,1,1
AR,PBX3,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535,1,1,1
MIMAT0000436,PBX3,True,False,False,False,False,False,1,miRTarBase:28111340,miRTarBase,post_transcriptional,28111340,1,1,1
RUNX1,MIMAT0000436,True,False,True,True,False,True,1,TransmiR:26990877,TransmiR,mirna_transcriptional,26990877,1,1,1
