source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
APP,CDK5,True,False,False,False,False,False,5,HPRD:10936190;HPRD:15178331;HPRD:8764598;ProtMapper:19700222;SIGNOR:10936190,HPRD;ProtMapper;SIGNOR;Sparser_ProtMapper,post_translational,10936190;15178331;19700222;8764598,4,4,3
CDK5,APP,True,True,False,True,True,False,36,HPRD-phos:10936190;HPRD-phos:15178331;HPRD-phos:8764598;HPRD:10936190;HPRD:15178331;HPRD:8764598;KEA:10936190;KEA:15178331;KEA:8764598;PhosphoSite:10341243;PhosphoSite:10936190;PhosphoSite:11146006;PhosphoSite:11517218;PhosphoSite:14557249;PhosphoSite:14970211;PhosphoSite:15178331;PhosphoSite:15944381;PhosphoSite:16223726;PhosphoSite:16554819;PhosphoSite:16705182;PhosphoSite:17085446;PhosphoSite:17459339;PhosphoSite:18833287;PhosphoSite:21947912;PhosphoSite:24610780;ProtMapper:10936190;ProtMapper:15917097;ProtMapper:19090995;ProtMapper:19455415;ProtMapper:22112898;SIGNOR:10936190;dbPTM:11877420;dbPTM:8131745;iPTMnet:10936190;iPTMnet:15178331;iPTMnet:8764598,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;dbPTM;iPTMnet;phosphoELM_MIMP,post_translational,10341243;10936190;11146006;11517218;11877420;14557249;14970211;15178331;15917097;15944381;16223726;16554819;16705182;17085446;17459339;18833287;19090995;19455415;21947912;22112898;24610780;8131745;8764598,23,19,11
CDK5,AR,True,True,False,True,True,False,21,PhosphoSite:17043241;PhosphoSite:21799006;PhosphoSite:22014572;PhosphoSite:22275373;PhosphoSite:25982277;PhosphoSite:27902483;PhosphoSite:29423094;PhosphoSite:30414425;PhosphoSite:32846021;PhosphoSite:33038264;PhosphoSite:33932081;PhosphoSite:33974920;PhosphoSite:33994848;PhosphoSite:7565807;ProtMapper:21799006;ProtMapper:24424504;ProtMapper:25691442;ProtMapper:25851605;ProtMapper:27917404;SIGNOR:21799006;iPTMnet:21799006,HPRD_MIMP;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet;phosphoELM_MIMP,post_translational,17043241;21799006;22014572;22275373;24424504;25691442;25851605;25982277;27902483;27917404;29423094;30414425;32846021;33038264;33932081;33974920;33994848;7565807,18,13,5
NRIP1,AR,True,True,False,True,True,False,2,HPRD:9368054;NetPath:9368054,HPRD;NetPath;Wang,post_translational,9368054,1,3,3
CDK5,RBFOX2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
AR,APP,True,False,False,False,False,False,1,HTRIdb:20610535,DoRothEA;HTRIdb;ReMap_DoRothEA,transcriptional,20610535,1,3,2
AR,ERG,True,False,False,False,False,False,1,HTRIdb:20610535,DoRothEA;HTRIdb;ReMap_DoRothEA,transcriptional,20610535,1,3,2
ERG,AR,True,False,False,False,False,False,0,,IntAct_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
AR,ERG,True,False,False,False,False,False,1,,DoRothEA-reviews_DoRothEA,transcriptional,,,1,0
GABPA,E2F4,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
E2F4,GABPA,True,False,False,False,False,False,0,,PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA,transcriptional,,,3,0
AR,CDK5,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535,1,1,1
AR,RBFOX2,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535,1,1,1
E2F4,RBFOX2,True,False,False,False,False,False,1,HTRIdb:17531812,HTRIdb,transcriptional,17531812,1,1,1
