source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
PKNOX1,PAX6,True,True,False,True,True,False,1,SPIKE:20413611,SPIKE,post_translational,20413611,1,1,1
SIX3,PAX6,True,True,False,False,False,False,2,HPRD:11069920;SPIKE:12072567,HPRD;SPIKE,post_translational,11069920;12072567,2,2,2
PAX6,SIX3,True,True,False,True,True,False,3,HPRD:11069920;SPIKE:11069887;SPIKE:12072567,HPRD;SPIKE,post_translational,11069887;11069920;12072567,3,2,2
TLE1,SIX3,True,True,False,True,True,False,3,HPRD:12441302;Lit-BM-17:12441302;SIGNOR:12441302,HPRD;Lit-BM-17;SIGNOR,post_translational,12441302,1,3,3
TLE1,RUNX1,True,False,True,True,False,True,2,HPRD:9751710;Lit-BM-17:9751710,HPRD;Lit-BM-17;Wang,post_translational,9751710,1,3,3
RUNX1,CTBP2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
RUNX1,TCF12,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
RUNX1,TLE1,True,False,False,False,False,False,1,PAZAR:20019798,DoRothEA;PAZAR;PAZAR_DoRothEA,transcriptional,20019798,1,3,2
TCF12,PAX6,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
TCF12,SIX3,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
CTBP2,PAX6,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
CTBP2,SIX3,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
