source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
RUNX1,CTBP2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
RUNX1,TCF12,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
TCF12,DLX2,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
CTBP2,DLX2,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
E2F4,DLX4,True,False,False,False,False,False,1,HTRIdb:17531812,DoRothEA;HTRIdb;PAZAR_DoRothEA,transcriptional,17531812.0,1.0,3,2
GABPA,E2F4,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
CTBP2,DLX4,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
WNT1,DLX5,True,True,False,True,True,False,1,SPIKE:18495817,SPIKE,post_translational,18495817,1.0,1,1
TTC3,AKT1,True,False,True,False,False,False,2,IntAct:20059950;SIGNOR:20059950,IntAct;SIGNOR,post_translational,20059950,1.0,2,2
AKT1,DLX5,True,True,False,True,True,False,2,SIGNOR:21619873;SIGNOR:22298955,SIGNOR,post_translational,21619873;22298955,2.0,1,1
TIAM1,AKT1,True,True,False,False,False,False,0,,Wang,post_translational,,,1,1
E2F4,DLX5,True,False,False,False,False,False,1,HTRIdb:17531812,DoRothEA;HTRIdb;PAZAR_DoRothEA,transcriptional,17531812,1.0,3,2
TCF12,DLX5,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
CTBP2,DLX5,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
CTBP2,WNT1,True,False,False,False,False,False,0,,ENCODE-proximal,transcriptional,,,1,1
ERG,WNT1,True,True,False,True,True,False,1,SIGNOR:23913826,SIGNOR,transcriptional,23913826,1.0,1,1
SUMO3,CEBPA,True,False,False,False,False,False,2,HPRD-phos:12511558;HPRD:12511558,HPRD;HPRD-phos,post_translational,12511558.0,1.0,2,2
NRIP1,AR,True,True,False,True,True,False,2,HPRD:9368054;NetPath:9368054,HPRD;NetPath;Wang,post_translational,9368054.0,1.0,3,3
RUNX1,CEBPA,True,False,True,True,False,True,1,HPRD:17431401,HPRD;Wang,post_translational,17431401.0,1.0,2,2
ERG,AR,True,False,False,False,False,False,0,,IntAct_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
CEBPA,EBF1,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
AR,CEBPA,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535.0,1.0,1,1
AR,EBF1,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535.0,1.0,1,1
IFNAR2,STAT1,True,True,False,True,True,False,2,HPRD:11301323;InnateDB:9121453,HPRD;InnateDB;Wang,post_translational,11301323;9121453,2.0,3,3
IFNGR2,STAT1,True,False,False,False,False,False,1,ProtMapper:19174562,ProtMapper;Sparser_ProtMapper,post_translational,19174562,1.0,2,1
IFNAR1,STAT1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
AR,STAT1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
E2F4,PBX3,True,False,False,False,False,False,1,HTRIdb:17531812,DoRothEA;HTRIdb;PAZAR_DoRothEA,transcriptional,17531812,1.0,3,2
E2F4,STAT1,True,False,False,False,False,False,1,HTRIdb:17531812,DoRothEA;HTRIdb;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,17531812,1.0,4,2
STAT1,PBX3,True,False,False,False,False,False,1,PAZAR:17558387,DoRothEA;PAZAR;PAZAR_DoRothEA,transcriptional,17558387,1.0,3,2
AR,PBX3,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535,1.0,1,1
MIMAT0000436,PBX3,True,False,False,False,False,False,1,miRTarBase:28111340,miRTarBase,post_transcriptional,28111340,1.0,1,1
RUNX1,MIMAT0000436,True,False,True,True,False,True,1,TransmiR:26990877,TransmiR,mirna_transcriptional,26990877,1.0,1,1
APP,CDK5,True,False,False,False,False,False,5,HPRD:10936190;HPRD:15178331;HPRD:8764598;ProtMapper:19700222;SIGNOR:10936190,HPRD;ProtMapper;SIGNOR;Sparser_ProtMapper,post_translational,10936190;15178331;19700222;8764598,4.0,4,3
CDK5,AR,True,True,False,True,True,False,21,PhosphoSite:17043241;PhosphoSite:21799006;PhosphoSite:22014572;PhosphoSite:22275373;PhosphoSite:25982277;PhosphoSite:27902483;PhosphoSite:29423094;PhosphoSite:30414425;PhosphoSite:32846021;PhosphoSite:33038264;PhosphoSite:33932081;PhosphoSite:33974920;PhosphoSite:33994848;PhosphoSite:7565807;ProtMapper:21799006;ProtMapper:24424504;ProtMapper:25691442;ProtMapper:25851605;ProtMapper:27917404;SIGNOR:21799006;iPTMnet:21799006,HPRD_MIMP;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet;phosphoELM_MIMP,post_translational,17043241;21799006;22014572;22275373;24424504;25691442;25851605;25982277;27902483;27917404;29423094;30414425;32846021;33038264;33932081;33974920;33994848;7565807,18.0,13,5
CDK5,RBFOX2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
AR,CDK5,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535,1.0,1,1
AR,RBFOX2,True,False,False,False,False,False,1,HTRIdb:20610535,HTRIdb,transcriptional,20610535,1.0,1,1
E2F4,RBFOX2,True,False,False,False,False,False,1,HTRIdb:17531812,HTRIdb,transcriptional,17531812,1.0,1,1
CDK2,AR,True,False,False,False,False,False,5,PhosphoSite:15239671;PhosphoSite:28003546;PhosphoSite:34435708;ProtMapper:28408866;ProtMapper:29157894,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;Sparser_ProtMapper,post_translational,15239671;28003546;28408866;29157894;34435708,5.0,5,2
CDK2,SOX4,True,False,False,False,False,False,1,KEA:17570479,KEA;NetworKIN_KEA,post_translational,17570479,1.0,2,1
CDK2,CEBPA,True,False,False,False,False,False,1,HPRD:11684017,HPRD;PhosphoPoint,post_translational,11684017,1.0,2,2
