name,shared name,type,avgExpression
RUNX1,RUNX1,HSA21TF,0.654284266741855
TCF12,TCF12,NeuroDisease,0.0198461693368645
CTBP2,CTBP2,GeneralTF,-0.205260156737087
E2F4,E2F4,GeneralTF,0.0575742537614502
GABPA,GABPA,HSA21TF,0.601451678662171
WNT1,WNT1,NeuroDisease,0.0
TTC3,TTC3,HSA21gene,0.609639247666598
AKT1,AKT1,NeuroDev,-0.0323540500326005
TIAM1,TIAM1,HSA21gene,0.749437566349536
ERG,ERG,HSA21TF,0.0
SUMO3,SUMO3,HSA21gene,0.345752489264753
NRIP1,NRIP1,HSA21gene,0.401479191969281
CEBPA,CEBPA,GeneralTF,0.0
AR,AR,GeneralTF,-0.339977118911973
IFNAR2,IFNAR2,HSA21gene,0.697366973528535
IFNGR2,IFNGR2,HSA21gene,0.614867772688703
IFNAR1,IFNAR1,HSA21gene,0.737153966792477
STAT1,STAT1,GeneralTF,-0.194323256277566
MIMAT0000436,MIMAT0000436,None,0.0
APP,APP,HSA21gene,0.696731563295763
CDK5,CDK5,NeuroDev,0.152059581712372
CDK2,CDK2,None,-0.15365076430708
CBS,CBS,HSA21gene,0.0
MIMAT0000707,MIMAT0000707,None,0.0
PKNOX1,PKNOX1,HSA21TF,0.53000727131577
SIX3,SIX3,NeuroDisease,0.538426232938441
PAX6,PAX6,NeuroDisease,-0.460448956574269
TLE1,TLE1,None,-0.0828449613489
GSK3B,GSK3B,NeuroDev,0.0458953188157226
MAPK8,MAPK8,None,0.0368909683300027
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
CTCF,CTCF,NeuroDisease,0.0427222023818481
ESR1,ESR1,GeneralTF,0.0
NFKB1,NFKB1,GeneralTF,-0.296044343759716
REST,REST,GeneralTF,-0.229631460825483
PRKCB,PRKCB,None,0.0724144116284888
MIMAT0000078,MIMAT0000078,None,0.0
SON,SON,HSA21gene,0.559122057430528
DLX2,DLX2,NeuroDev,0.899707200698293
DLX4,DLX4,GeneralTF,0.0
DLX5,DLX5,NeuroDev,1.15915726089122
EBF1,EBF1,GeneralTF,1.07048025303325
PBX3,PBX3,NeuroDev,0.438476125726903
RBFOX2,RBFOX2,NeuroDev,0.159133511922871
SOX4,SOX4,NeuroDisease,0.213148993687883
CELF4,CELF4,NeuroDisease,0.137738268990462
DLX6,DLX6,NeuroDev,1.2193667761389
HMGB2,HMGB2,GeneralTF,-0.0943936108028714
