source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
WNT1,DLX5,True,True,False,True,True,False,1,SPIKE:18495817,SPIKE,post_translational,18495817,1,1,1
PKNOX1,PAX6,True,True,False,True,True,False,1,SPIKE:20413611,SPIKE,post_translational,20413611,1,1,1
AKT1,SMAD3,True,True,True,True,True,False,11,HPRD:16362038;Lit-BM-17:16362038;Lit-BM-17:25241761;ProtMapper:26297431;SIGNOR:15048128;SPIKE:15104092;SignaLink3:15048128;SignaLink3:16362038;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499,HPRD;Lit-BM-17;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SPIKE;SignaLink3;Wang,post_translational,15048128;15104092;16362038;18988627;21071413;23331499;25241761;26297431,8,9,7
SIX3,PAX6,True,True,False,False,False,False,2,HPRD:11069920;SPIKE:12072567,HPRD;SPIKE,post_translational,11069920;12072567,2,2,2
PAX6,SIX3,True,True,False,True,True,False,3,HPRD:11069920;SPIKE:11069887;SPIKE:12072567,HPRD;SPIKE,post_translational,11069887;11069920;12072567,3,2,2
MSX2,DLX2,True,False,True,False,False,False,2,HPRD:9111364;SIGNOR:9111364,HPRD;SIGNOR,post_translational,9111364,1,2,2
DLX2,MSX2,True,True,True,True,False,True,2,HPRD:9111364;SIGNOR:9111364,HPRD;SIGNOR;Wang,post_translational,9111364,1,3,3
MSX1,DLX5,True,False,True,True,False,True,1,SIGNOR:9111364,SIGNOR,post_translational,9111364,1,1,1
DLX5,MSX1,True,False,True,True,False,True,1,SIGNOR:9111364,SIGNOR,post_translational,9111364,1,1,1
MSX1,DLX2,True,False,True,True,False,True,2,Lit-BM-17:9111364;SIGNOR:9111364,Lit-BM-17;SIGNOR,post_translational,9111364,1,2,2
DLX2,MSX1,True,False,True,True,False,True,2,Lit-BM-17:9111364;SIGNOR:9111364,Lit-BM-17;SIGNOR,post_translational,9111364,1,2,2
AKT1,TTC3,True,True,False,True,True,False,5,IntAct:20059950;ProtMapper:20059950;SIGNOR:20059950;dbPTM:20059950;iPTMnet:20059950,IntAct;MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;dbPTM;iPTMnet,post_translational,20059950,1,10,6
TTC3,AKT1,True,False,True,False,False,False,2,IntAct:20059950;SIGNOR:20059950,IntAct;SIGNOR,post_translational,20059950,1,2,2
