name,shared name,type,avgExpression
WNT1,WNT1,NeuroDisease,0.0
PKNOX1,PKNOX1,HSA21TF,0.53000727131577
AKT1,AKT1,NeuroDev,-0.0323540500326005
SIX3,SIX3,NeuroDisease,0.538426232938441
PAX6,PAX6,NeuroDisease,-0.460448956574269
MSX2,MSX2,GeneralTF,0.0
DLX2,DLX2,NeuroDev,0.899707200698293
MSX1,MSX1,NeuroDev,-0.792794728693981
DLX5,DLX5,NeuroDev,1.15915726089122
TTC3,TTC3,HSA21gene,0.609639247666598
SMAD3,SMAD3,GeneralTF,-0.394794958854225
TLE1,TLE1,None,-0.0828449613489
TLE5,TLE5,None,-0.036542577710352
TIAM1,TIAM1,HSA21gene,0.749437566349536
HDAC1,HDAC1,NeuroDev,-0.403865420498788
ETS2,ETS2,HSA21TF,0.417956594380445
NRIP1,NRIP1,HSA21gene,0.401479191969281
RUNX1,RUNX1,HSA21TF,0.654284266741855
ETS1,ETS1,GeneralTF,-0.316553434874167
TBX22,TBX22,GeneralTF,0.0
ERG,ERG,HSA21TF,0.0
