source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
GZMA,HMGB2,True,False,True,True,False,True,3,HPRD-phos:11909973;HPRD:11909973;SPIKE:11909973,HPRD;HPRD-phos;SPIKE,post_translational,11909973,1,3,3
IFNAR1,TYK2,True,True,False,False,False,False,21,BioGRID:9733772;DIP:24704786;DIP:7526154;HPRD:95059042;HPRD:9677371;HPRD:9733772;InnateDB:14647450;InnateDB:15337770;InnateDB:7559568;InnateDB:8524272;InnateDB:8605876;InnateDB:8702790;InnateDB:9461596;InnateDB:9733772;LMPID:24704786;MPPI:8628273;Macrophage:8628273;SignaLink3:15120645;SignaLink3:23331499;SignaLink3:24243840;SignaLink3:29145629,BioGRID;DIP;HPRD;InnateDB;LMPID;MPPI;Macrophage;Reactome_SignaLink3;SignaLink3;Wang,post_translational,14647450;15120645;15337770;23331499;24243840;24704786;29145629;7526154;7559568;8524272;8605876;8628273;8702790;9461596;95059042;9677371;9733772,17,10,9
TYK2,IFNAR1,True,True,False,True,True,False,44,BioGRID:9733772;Cellinker:16551269;DIP:24704786;DIP:7526154;HPRD:95059042;HPRD:9677371;HPRD:9733772;InnateDB:14647450;InnateDB:15337770;InnateDB:7559568;InnateDB:8524272;InnateDB:8605876;InnateDB:8702790;InnateDB:9461596;InnateDB:9733772;KEA:7526154;KEA:8605876;KEA:8700538;KEA:95059042;KEA:9677371;LMPID:24704786;MPPI:8628273;Macrophage:7526154;Macrophage:8628273;PhosphoSite:12220192;PhosphoSite:8605876;PhosphoSite:9121453;ProtMapper:18166147;ProtMapper:20937132;ProtMapper:21949722;ProtMapper:21994561;ProtMapper:23223197;ProtMapper:7526154;ProtMapper:8605876;SIGNOR:7526154;SIGNOR:8605876;iPTMnet:7526154;iPTMnet:8605876;iPTMnet:8700538;iPTMnet:95059042;iPTMnet:9677371;phosphoELM:7526154;phosphoELM:8605876;phosphoELM:8700538,BioGRID;Cellinker;DIP;HPRD;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;LMPID;MIMP;MPPI;Macrophage;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,12220192;14647450;15337770;16551269;18166147;20937132;21949722;21994561;23223197;24704786;7526154;7559568;8524272;8605876;8628273;8700538;8702790;9121453;9461596;95059042;9677371;9733772,22,29,18
IFNAR2,TYK2,True,True,False,True,True,False,5,HPRD:12960323;SignaLink3:12040185;SignaLink3:12960323;SignaLink3:18988627;SignaLink3:23331499,HPRD;SignaLink3;Wang,post_translational,12040185;12960323;18988627;23331499,4,3,3
JAK2,IFNGR2,True,True,False,False,False,False,3,HPRD:7514165;Macrophage:7901766;SIGNOR:23898330,HPRD;Macrophage;PhosphoPoint;SIGNOR,post_translational,23898330;7514165;7901766,3,4,4
IFNGR2,JAK2,True,True,False,True,True,False,5,HPRD:7514165;Macrophage:7901766;SIGNOR:23898330;SignaLink3:16381926;SignaLink3:23331499,HPRD;Macrophage;SIGNOR;SignaLink3;Wang,post_translational,16381926;23331499;23898330;7514165;7901766,5,5,5
IL10RB,TYK2,True,True,False,True,True,False,3,SIGNOR:10347215;SignaLink3:12974481;SignaLink3:23331499,SIGNOR;SignaLink3;Wang,post_translational,10347215;12974481;23331499,3,3,3
IL10RB,JAK2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
IFNGR2,TYK2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
TYK2,GZMA,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
JAK2,GZMA,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
JAK2,TYK2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
IFNAR1,JAK2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
IFNAR2,JAK2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
