name,shared name,type,avgExpression
BACE2,BACE2,HSA21gene,2.25829294270263
RAC1,RAC1,NeuroDisease,-0.0513473183047828
TIAM1,TIAM1,HSA21gene,0.749437566349536
SMAD3,SMAD3,GeneralTF,-0.394794958854225
CDK5,CDK5,NeuroDev,0.152059581712372
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
CTBP1,CTBP1,NeuroDisease,0.162194920070395
APP,APP,HSA21gene,0.696731563295763
NOTCH1,NOTCH1,NeuroDev,-0.0001437683355424
RBFOX2,RBFOX2,NeuroDev,0.159133511922871
HEY1,HEY1,GeneralTF,0.235205518013278
NRIP1,NRIP1,HSA21gene,0.401479191969281
RUNX1,RUNX1,HSA21TF,0.654284266741855
CAPN1,CAPN1,None,0.503562712897991
