source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
UBE2I,SOX4,True,False,True,True,False,True,3,HPRD:16631117;Lit-BM-17:16631117;SPIKE:16631117,HPRD;Lit-BM-17;SPIKE;Wang,post_translational,16631117,1,4,4
IL5,IL5RA,True,True,False,True,True,False,33,Baccin2019:10880230;Baccin2019:11748263;Baccin2019:1732409;Baccin2019:7721873;BioGRID:10823900;BioGRID:1732409;CellTalkDB:11748263;DIP:1495999;DIP:22153509;HPRD:10880230;HPRD:1732409;HPRD:7721873;InnateDB:1732409;InnateDB:7721873;IntAct:22153509;LRdb:10880230;LRdb:11748263;LRdb:1732409;LRdb:7721873;Lit-BM-17:1495999;Lit-BM-17:1732409;Lit-BM-17:7721873;Lit-BM-17:7957082;NetPath:1732409;NetPath:1833065;SIGNOR:8567620;SignaLink3:22528658;SignaLink3:23331499;SignaLink3:8567620;connectomeDB2020:10880230;connectomeDB2020:11748263;connectomeDB2020:1732409;connectomeDB2020:7721873,Baccin2019;BioGRID;CellCall;CellTalkDB;DIP;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;IntAct;Kirouac2010;LRdb;Lit-BM-17;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr,post_translational,10823900;10880230;11748263;1495999;1732409;1833065;22153509;22528658;23331499;7721873;7957082;8567620,12,32,21
APP,MAPK8,True,True,False,False,False,False,1,InnateDB:12917434,InnateDB;Wang,post_translational,12917434,1,2,2
MAPK8,APP,True,True,False,True,True,False,10,InnateDB:12917434;ProtMapper:12917434;ProtMapper:15936948;ProtMapper:20122754;ProtMapper:24610780;SIGNOR:12917434;SIGNOR:24610780;iPTMnet:12917434;iPTMnet:14970211;iPTMnet:24610780,HPRD_MIMP;InnateDB;MIMP;PhosphoSite_MIMP;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet;phosphoELM_MIMP,post_translational,12917434;14970211;15936948;20122754;24610780,5,11,5
MAPK8,JUND,True,True,False,True,True,False,8,CancerCellMap:14676207;ELM:26538579;HPRD:12052834;PhosphoSite:16007120;ProtMapper:22327296;SIGNOR:22327296;iPTMnet:12052834;iPTMnet:22327296,CancerCellMap;ELM;HPRD;HPRD_MIMP;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang;iPTMnet;phosphoELM_MIMP,post_translational,12052834;14676207;16007120;22327296;26538579,5,15,10
APP,GSK3B,True,True,False,False,False,False,5,HPRD:10936190;HPRD:15178331;HPRD:8764598;ProtMapper:29215943;SIGNOR:8764598,HPRD;ProtMapper;SIGNOR;Sparser_ProtMapper;Wang,post_translational,10936190;15178331;29215943;8764598,4,5,4
GSK3B,CEBPA,True,True,False,True,True,False,9,HPRD-phos:10567568;HPRD:10567568;KEA:10567568;ProtMapper:10567568;ProtMapper:20194724;ProtMapper:23181522;ProtMapper:28775290;SIGNOR:10567568;iPTMnet:10567568,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet,post_translational,10567568;20194724;23181522;28775290,4,14,8
IL5RA,SOX4,True,True,False,True,True,False,2,NetPath:11498591;SIGNOR:11498591,NetPath;SIGNOR,post_translational,11498591,1,2,2
AR,UBE2I,True,True,False,True,True,False,8,CancerCellMap:10383460;DIP:10383460;HPRD:10383460;HPRD:8798622;InnateDB:12764129;Lit-BM-17:10383460;Lit-BM-17:19692572;NetPath:10383460,CancerCellMap;DIP;HPRD;InnateDB;Lit-BM-17;NetPath;Wang,post_translational,10383460;12764129;19692572;8798622,4,7,7
UBE2I,AR,True,True,False,True,True,False,8,CancerCellMap:10383460;DIP:10383460;HPRD:10383460;HPRD:8798622;InnateDB:12764129;Lit-BM-17:10383460;Lit-BM-17:19692572;NetPath:10383460,CancerCellMap;DIP;HPRD;InnateDB;Lit-BM-17;NetPath;Wang,post_translational,10383460;12764129;19692572;8798622,4,7,7
NRIP1,AR,True,True,False,True,True,False,2,HPRD:9368054;NetPath:9368054,HPRD;NetPath;Wang,post_translational,9368054,1,3,3
GSK3B,AR,True,False,True,True,False,True,3,HPRD:15178691;HPRD:15361837;NetPath:14985354,HPRD;NetPath;Wang,post_translational,14985354;15178691;15361837,3,3,3
RUNX1,CEBPA,True,False,True,True,False,True,1,HPRD:17431401,HPRD;Wang,post_translational,17431401,1,2,2
MAPK8,AR,True,True,False,True,True,False,4,ProtMapper:16282370;ProtMapper:21512132;ProtMapper:21820033;ProtMapper:24424504,HPRD_MIMP;MIMP;NCI-PID_ProtMapper;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;Sparser_ProtMapper;Wang;phosphoELM_MIMP,post_translational,16282370;21512132;21820033;24424504,4,10,3
CEBPA,SOX4,True,False,True,True,False,True,1,SIGNOR:24183681,PAZAR_DoRothEA;SIGNOR,transcriptional,24183681,1,2,1
ETS2,IL5,True,True,False,True,True,False,0,,RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA,transcriptional,,,3,0
JUND,SOX4,True,True,False,True,True,False,0,,IntAct_DoRothEA;TRRUST_DoRothEA,transcriptional,,,2,0
