name,shared name,type,avgExpression
BHLHE22,BHLHE22,GeneralTF,-1.46956032910659
EBF3,EBF3,NeuroDisease,-0.849234383439898
NEUROD1,NEUROD1,NeuroDev,-2.20739323726664
KCNB2,KCNB2,None,-0.0288190783132671
CTTNBP2,CTTNBP2,NeuroDisease,0.161241288008021
NEUROD2,NEUROD2,NeuroDev,-1.04930067785261
NFIB,NFIB,NeuroDisease,-0.143693766511392
TENM4,TENM4,NeuroDev,-0.537095365360749
ZIC2,ZIC2,NeuroDisease,-2.35268372533395
SH3RF3,SH3RF3,None,1.0976443772507
EOMES,EOMES,NeuroDev,-1.88170592124081
TSPO,TSPO,NeuroDev,-0.989914957280744
NHLH2,NHLH2,NeuroDev,-2.39923610257432
MYRIP,MYRIP,None,0.0720024928619394
KCNH7,KCNH7,None,0.587968948064062
SRGAP3,SRGAP3,None,-0.280345691493139
B3GAT1,B3GAT1,None,-0.201764292421258
SLIT1,SLIT1,NeuroDev,-0.447772704433756
WNT7B,WNT7B,NeuroDev,-3.00574010483952
FAM49A,FAM49A,None,0.250061302510947
CORO2B,CORO2B,None,0.302271782393503
CRABP1,CRABP1,None,-2.59447377435713
ADAMTS19,ADAMTS19,None,-0.250049742048904
EDIL3,EDIL3,None,-0.851447752540609
LYPD6B,LYPD6B,None,-0.729594408143194
KLHL1,KLHL1,NeuroDev,0.109558598945163
ARHGAP42,ARHGAP42,None,-0.458864302527737
AHRR,AHRR,GeneralTF,-1.47470961000616
ZFPM2-AS1,ZFPM2-AS1,None,-1.1453940014081
TMEM121,TMEM121,None,-0.949100182970343
TBR1,TBR1,NeuroDisease,-1.85224361082226
PDE1A,PDE1A,None,-0.504511031169169
LZTS1-AS1,LZTS1-AS1,None,-0.258366838000494
NEUROD6,NEUROD6,NeuroDev,-2.33493117100874
CHRM3,CHRM3,NeuroDev,-0.614346403932021
