source,target,value
GABPA,TNRC6B,2.7036233393924127
GABPA,PAXBP1,3.455394305845789
GABPA,RABGAP1L,8.04005104471429
GABPA,RASGRF1,6.045985835016593
GABPA,CHD1,4.832263115951434
GABPA,RGL1,2.9667781227106023
GABPA,CDH22,3.0811767132657093
GABPA,ASH1L,3.123649666699067
GABPA,POGZ,2.670697991135496
GABPA,PRMT3,2.635036079411396
GABPA,SCAF4,9.67612552504249
GABPA,SFRP2,3.47885379002726
GABPA,DYRK1A,23.247294744611978
GABPA,GNAO1,2.655943778726164
GABPA,PENK,2.994267950276752
GABPA,GART,7.765450417609301
GABPA,SMG7,3.4409570791690247
GABPA,STXBP5L,2.955766158574833
GABPA,CUL3,3.678141697949696
GABPA,CCDC170,7.667564635600743
GABPA,SLIT3,3.053140104767493
GABPA,PPP1R12B,2.6516046436682794
GABPA,KMT2E,3.933064000169032
GABPA,UTY,5.743453698925235
GABPA,SLC35F1,9.143801338323184
GABPA,MED13L,3.897635033871632
GABPA,SON,6.9752508541898495
GABPA,HCFC2,3.1937986756665704
GABPA,SST,2.651044187456764
GABPA,CELSR3,3.60694036290424
GABPA,SCAMP5,3.033651492328934
GABPA,SCD,7.852575513138562
GABPA,CEP126,3.270604636291434
GABPA,TNRC6A,3.280655095713236
GABPA,FGF11,4.413073457894459
GABPA,BRWD1,8.35692644766045
GABPA,GLDC,4.094566313054723
GABPA,EXOC5,3.168496855852218
GABPA,DNAH11,2.8387165910400367
GABPA,HMGCS1,4.4082315449854175
GABPA,CEP85L,8.083127972345922
GABPA,PSME4,4.665083028577175
