name,shared name,type,avgExpression
GABPA,GABPA,HSA21TF,0.601451678662171
TNRC6B,TNRC6B,NeuroDisease,0.150536947222509
PAXBP1,PAXBP1,HSA21gene,0.513502848632889
RABGAP1L,RABGAP1L,None,0.435048746758475
RASGRF1,RASGRF1,NeuroDev,0.361058822324041
CHD1,CHD1,NeuroDisease,-0.309172337783506
RGL1,RGL1,None,0.424592063433851
CDH22,CDH22,NeuroDev,0.718319602621548
ASH1L,ASH1L,NeuroDisease,0.481624767006741
POGZ,POGZ,NeuroDisease,0.31852911834284
PRMT3,PRMT3,NeuroDev,-0.258217706958589
SCAF4,SCAF4,HSA21gene,0.469410111761104
SFRP2,SFRP2,NeuroDev,-0.674433295843675
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
GNAO1,GNAO1,NeuroDisease,0.358822436030648
PENK,PENK,NeuroDev,1.59119189974528
GART,GART,HSA21gene,0.54630841960655
SMG7,SMG7,None,0.171862675572869
STXBP5L,STXBP5L,None,0.164301865997824
CUL3,CUL3,NeuroDisease,0.0798053655199614
CCDC170,CCDC170,None,0.320656115079148
SLIT3,SLIT3,NeuroDev,-0.860892521575369
PPP1R12B,PPP1R12B,None,0.413965112378775
KMT2E,KMT2E,NeuroDisease,0.161368262916145
UTY,UTY,None,18.0182408309537
SLC35F1,SLC35F1,None,1.39996292248313
MED13L,MED13L,NeuroDisease,0.21280086483982
SON,SON,HSA21gene,0.559122057430528
HCFC2,HCFC2,GeneralTF,0.160873169738325
SST,SST,None,1.32324918533418
CELSR3,CELSR3,None,0.044732382348987
SCAMP5,SCAMP5,None,0.207467357585706
SCD,SCD,None,0.34307102480537
CEP126,CEP126,None,-0.740561868466653
TNRC6A,TNRC6A,None,0.221210887330306
FGF11,FGF11,NeuroDev,-0.659820758889445
BRWD1,BRWD1,HSA21gene,0.522651236002678
GLDC,GLDC,NeuroDisease,-0.147431782886136
EXOC5,EXOC5,None,0.145875195960321
DNAH11,DNAH11,NeuroDev,-0.467485312007934
HMGCS1,HMGCS1,None,0.370918625448171
CEP85L,CEP85L,NeuroDisease,0.438676142479221
PSME4,PSME4,None,-0.415563264422412
