name,shared name,type,avgExpression
TCF4,TCF4,NeuroDisease,-0.121605040496533
CCDC88A,CCDC88A,NeuroDisease,0.300788089165617
TNRC6B,TNRC6B,NeuroDisease,0.150536947222509
NSD1,NSD1,NeuroDisease,0.529804493547693
SP8,SP8,GeneralTF,0.358383383159319
PAXBP1,PAXBP1,HSA21gene,0.513502848632889
LINC00461,LINC00461,None,-0.081689700141293
ADGRB3,ADGRB3,NeuroDev,0.035708170519832
DHRS3,DHRS3,None,0.770255022932909
MEIS2,MEIS2,NeuroDisease,0.426455433008864
RABGAP1L,RABGAP1L,None,0.435048746758475
DACH1,DACH1,None,-0.347034033563953
LRRC3B,LRRC3B,None,0.360422774187566
FOXP1,FOXP1,NeuroDisease,0.0879010102888182
SOX4,SOX4,NeuroDisease,0.213148993687883
RBBP4,RBBP4,NeuroDev,0.0546575881811891
BCL11A,BCL11A,NeuroDisease,0.154021580634573
MAML3,MAML3,None,-0.0756264411318076
FEZF1-AS1,FEZF1-AS1,None,-0.967449948731129
FLRT2,FLRT2,NeuroDev,0.51588203431991
RASGRP1,RASGRP1,None,-0.63701298060639
SYNE2,SYNE2,NeuroDev,-0.433775527093614
SLIT1,SLIT1,NeuroDev,-0.447772704433756
CHD1,CHD1,NeuroDisease,-0.309172337783506
EFNA5,EFNA5,NeuroDev,-0.422771310833723
NLGN1,NLGN1,NeuroDev,-0.232828218107313
ADCY9,ADCY9,None,0.0153145263755301
CTBP2,CTBP2,GeneralTF,-0.205260156737087
DAPK1,DAPK1,None,0.151992349436749
PEX5L,PEX5L,None,-0.521725598372152
EOMES,EOMES,NeuroDev,-1.88170592124081
CHST8,CHST8,NeuroDev,-1.10716072861392
LHFPL4,LHFPL4,None,0.684055390753912
FOXN3,FOXN3,GeneralTF,0.264895872968513
NR3C1,NR3C1,NeuroDev,0.29718070769013
RGL1,RGL1,None,0.424592063433851
KIAA1217,KIAA1217,None,-0.587165791613766
GPC6,GPC6,None,-0.136014151462249
BRINP1,BRINP1,NeuroDev,0.361736693184158
NFIB,NFIB,NeuroDisease,-0.143693766511392
DENND5B,DENND5B,None,0.127857271429645
TET2,TET2,None,0.308720544636034
DCLK1,DCLK1,NeuroDev,0.422006537558164
PLEKHA5,PLEKHA5,None,-0.117301082312505
ASH1L,ASH1L,NeuroDisease,0.481624767006741
MIR99AHG,MIR99AHG,None,0.742649905070759
SLCO5A1,SLCO5A1,None,0.258619094684195
NEUROG2,NEUROG2,GeneralTF,-1.68836546464389
DLEU2,DLEU2,None,0.0722499907197051
SNTG1,SNTG1,None,0.853204658932591
GREM2,GREM2,None,-1.38097736619425
SEMA6C,SEMA6C,NeuroDev,0.276121573707002
FBXO42,FBXO42,None,0.183667179719216
LRBA,LRBA,None,0.0277445575273122
LRIG1,LRIG1,NeuroDev,-0.505398115082196
NPAS3,NPAS3,None,-0.174243103612595
NR2F1,NR2F1,NeuroDisease,-0.2490252502863
CERS6,CERS6,GeneralTF,0.321180004311771
IGF2BP2,IGF2BP2,NeuroDev,-0.0949202256025242
SOX5,SOX5,NeuroDisease,-0.439349918556866
PTPRG,PTPRG,NeuroDev,-0.271329259247632
POGZ,POGZ,NeuroDisease,0.31852911834284
RORA,RORA,NeuroDisease,-0.0689878355344467
DLX6,DLX6,NeuroDev,1.2193667761389
ENOX1,ENOX1,None,0.719102498169891
NEDD4L,NEDD4L,NeuroDisease,0.443186986758295
PAX6,PAX6,NeuroDisease,-0.460448956574269
GAP43,GAP43,NeuroDev,0.253927505257908
ZNF423,ZNF423,NeuroDev,-0.793185017563106
SLC4A4,SLC4A4,NeuroDisease,0.722904733351059
NR2F2,NR2F2,NeuroDev,-0.647889433663667
EBF2,EBF2,GeneralTF,-2.57030558109689
LHX2,LHX2,NeuroDev,-0.876500588066355
HECW2,HECW2,NeuroDisease,-0.28453296447004
MARCH1,MARCH1,None,0.305296461392338
INSM1,INSM1,NeuroDev,0.12935280021791
TENM4,TENM4,NeuroDev,-0.537095365360749
KLF12,KLF12,GeneralTF,0.219709181475969
FAM110B,FAM110B,None,0.262094363681781
GAD2,GAD2,None,0.447271686590051
DLX1,DLX1,NeuroDev,0.697970281981891
GLIS3,GLIS3,NeuroDisease,-1.10222406127876
HS3ST1,HS3ST1,None,-0.943427556335602
NREP,NREP,NeuroDev,0.262402447049614
GNAQ,GNAQ,None,0.297229417358659
DST,DST,None,0.289875968201013
SCAF4,SCAF4,HSA21gene,0.469410111761104
ZBTB16,ZBTB16,NeuroDev,-0.980404338614891
KLHL29,KLHL29,None,-0.225738290975077
PLCB1,PLCB1,NeuroDisease,-0.444661526136279
SBF2,SBF2,NeuroDev,0.252048040603606
CNTN2,CNTN2,NeuroDev,0.182019601261234
HAT1,HAT1,None,0.461642473775164
SOX11,SOX11,NeuroDisease,0.236587078663327
ATP2B4,ATP2B4,NeuroDev,0.530509415598585
CDH4,CDH4,NeuroDev,-0.372804759143438
AMER2,AMER2,None,0.262403593243992
ELAVL2,ELAVL2,None,0.0005481969795391
PLCL1,PLCL1,None,0.29398822502136
GULP1,GULP1,None,-0.335466973905627
PBX1,PBX1,NeuroDisease,0.460865806650888
MID1,MID1,NeuroDisease,-0.56191551297167
KMT2A,KMT2A,NeuroDisease,0.162090665921928
