source,target,value
BHLHE22,EBF3,4.1172126065307815
BHLHE22,NEUROD1,9.079745014910966
BHLHE22,KCNB2,5.171218066182528
BHLHE22,CTTNBP2,2.9779379986432044
BHLHE22,NEUROD2,27.401520722608595
BHLHE22,NFIB,87.39696705745953
BHLHE22,TENM4,2.609079953377332
BHLHE22,ZIC2,4.997072943518829
BHLHE22,SH3RF3,10.820019177346497
BHLHE22,EOMES,4.072019558461635
BHLHE22,TSPO,5.250579570478244
BHLHE22,NHLH2,2.7083883687834143
BHLHE22,MYRIP,2.732407898297671
BHLHE22,KCNH7,30.639612351430824
BHLHE22,SRGAP3,2.8719794076956617
BHLHE22,B3GAT1,7.161556469144223
BHLHE22,SLIT1,8.916476840917746
BHLHE22,WNT7B,4.3722681911692565
BHLHE22,FAM49A,3.318448100328751
BHLHE22,CORO2B,5.189806652610462
BHLHE22,CRABP1,9.180022566934642
BHLHE22,ADAMTS19,2.5605479195823944
BHLHE22,EDIL3,3.6703094628397896
BHLHE22,LYPD6B,3.935571655899615
BHLHE22,KLHL1,6.671856738421977
BHLHE22,ARHGAP42,10.193322770700112
BHLHE22,AHRR,4.042419639308695
BHLHE22,ZFPM2-AS1,30.404964142565024
BHLHE22,TMEM121,8.006062883806496
BHLHE22,TBR1,2.513970237299216
BHLHE22,PDE1A,9.954398533741449
BHLHE22,LZTS1-AS1,2.9108507016165444
BHLHE22,NEUROD6,42.80533033464838
BHLHE22,CHRM3,14.989307287267504
EGR2,ID3,4.071066586145814
EGR2,DCTPP1,5.861780438162466
EGR2,ZIC5,2.650859312075654
EGR2,ID4,3.8983150739201378
EGR2,CLU,4.455072067361476
EGR2,OTX1,8.698085024018942
EGR2,PCDHB5,3.439848220008673
EGR2,RBM47,6.0516165966845525
EGR2,WLS,2.7484580259475293
EGR2,ZFP36L1,2.8287736188821486
EGR2,GNG12-AS1,7.413667559491547
EGR2,ANKRD9,3.347639377078019
EGR2,MYO1E,15.50319255777534
FOXJ1,ACKR3,4.024490404025887
FOXJ1,CRNDE,4.83435290417501
FOXJ1,CEP126,19.16335550614058
FOXJ1,PTN,10.267841390693407
FOXJ1,CDC20B,10.53051937652652
FOXJ1,LINC01182,7.339037011654605
FOXJ1,NEUROD1,22.8567642593038
FOXJ1,MLF1,13.715243318399716
FOXJ1,WDR49,12.458849082566305
GABPA,TNRC6B,2.7036233393924127
GABPA,PAXBP1,3.455394305845789
GABPA,RABGAP1L,8.04005104471429
GABPA,RASGRF1,6.045985835016593
GABPA,CHD1,4.832263115951434
GABPA,RGL1,2.9667781227106023
GABPA,CDH22,3.0811767132657093
GABPA,ASH1L,3.123649666699067
GABPA,POGZ,2.670697991135496
GABPA,PRMT3,2.635036079411396
GABPA,SCAF4,9.67612552504249
GABPA,SFRP2,3.47885379002726
GABPA,DYRK1A,23.247294744611978
GABPA,GNAO1,2.655943778726164
GABPA,PENK,2.994267950276752
GABPA,GART,7.765450417609301
GABPA,SMG7,3.4409570791690247
GABPA,STXBP5L,2.955766158574833
GABPA,CUL3,3.678141697949696
GABPA,CCDC170,7.667564635600743
GABPA,SLIT3,3.053140104767493
GABPA,PPP1R12B,2.6516046436682794
GABPA,KMT2E,3.933064000169032
GABPA,UTY,5.743453698925235
GABPA,SLC35F1,9.143801338323184
GABPA,MED13L,3.897635033871632
GABPA,SON,6.9752508541898495
GABPA,HCFC2,3.1937986756665704
GABPA,SST,2.651044187456764
GABPA,CELSR3,3.60694036290424
GABPA,SCAMP5,3.033651492328934
GABPA,SCD,7.852575513138562
GABPA,CEP126,3.270604636291434
GABPA,TNRC6A,3.280655095713236
GABPA,FGF11,4.413073457894459
GABPA,BRWD1,8.35692644766045
GABPA,GLDC,4.094566313054723
GABPA,EXOC5,3.168496855852218
GABPA,DNAH11,2.8387165910400367
GABPA,HMGCS1,4.4082315449854175
GABPA,CEP85L,8.083127972345922
GABPA,PSME4,4.665083028577175
HMGN3,CTBP2,5.683334515906268
HMGN3,NPAS3,2.6743212749053944
HMGN3,GULP1,11.577732976053484
HMGN3,MECOM,3.5471227114509336
HMGN3,FZD7,9.046136720828844
HMGN3,LEF1,11.439650634660811
HMGN3,FEZF2,6.632586623552952
HMGN3,DMRTA2,17.010048268833845
HMGN3,EMX2OS,4.668000533211942
HMGN3,FOXP1,11.662885726735343
HMGN3,ZFP36L1,16.97120549499488
HMGN3,YAP1,13.309655063921262
HMGN3,ADGRB3,3.1532940822210334
HMGN3,UBASH3B,4.149998776110373
HMGN3,TCF4,4.504340122619605
HMGN3,GLI3,32.51486518016932
HMGN3,MIR99AHG,9.26991606195618
HMGN3,MYCN,9.225438057037392
HMGN3,SMARCA2,7.218926502794242
HMGN3,PLEKHG1,4.545771367360478
HMGN3,LRP4,7.423130291633278
HMGN3,OTX1,11.53976586270352
HMGN3,HES1,32.239561357681275
HMGN3,NR3C2,3.529954082557803
HMGN3,MGAT4C,6.153624257592655
HMGN3,ACKR3,9.90785531386218
HMGN3,LTBP1,6.042115092497308
HMGN3,NR2F1,9.261441406013208
HMGN3,TMEM161B-AS1,4.921851685199165
HMGN3,ABCA1,2.569262690643664
HMGN3,LINC00461,3.38246905305388
HMGN3,USP46,6.596677426353847
HMGN3,MYO1E,6.920655535546513
HMGN3,CARHSP1,23.833082951882545
HMGN3,PAX6,17.377034645597767
HMGN3,MOB3B,5.742153027979191
HMGN3,SYT17,16.399623908599242
HMGN3,MPDZ,7.708982052656752
HMGN3,KCNC2,4.512800063122623
HMGN3,SOX5,5.198429435037256
HMGN3,FAT4,20.989699848749705
HMGN3,PLCH1,12.365739741912718
HMGN3,TMEM50B,7.039727766082678
HMGN3,EGR1,15.462911352011316
HMGN3,HDAC9,6.3426298929863
HMGN3,ID4,69.61656381782652
HMGN3,CBWD1,14.854463457256108
HMGN3,ADAMTSL1,4.413656294498419
HMGN3,FILIP1,5.277308305712571
HMGN3,MID1,13.722924707626156
HMGN3,KLF3,2.5630234490115056
HMGN3,YBX3,9.732747045700137
HMGN3,DACH1,6.712858999970449
HMGN3,FABP7,36.100915106872606
HMGN3,HS3ST1,3.254165707693649
HMGN3,B3GAT2,6.652210468171894
HMGN3,TPBG,2.777261551943755
HMGN3,MPPED1,6.033930270485942
HMGN3,GNG11,25.27309559316536
HMGN3,OAF,7.155872467407394
HMGN3,LHX2,12.70875433576761
LEF1,FOXP1,24.645943086413705
LEF1,EBF2,2.6833903044073404
LEF1,DHRS3,3.9304540919717423
LEF1,GAS1,6.112062278893149
LEF1,ERC2,7.778484650242438
LEF1,EMX2OS,35.783362219732425
LEF1,EMX2,9.220996165023404
LEF1,PGM1,10.321875484956829
LEF1,LTBP1,3.4996985300380747
LEF1,C20orf27,4.81748357247323
LEF1,INPP4B,10.41605244659118
LEF1,PLCB1,25.350802587504216
LEF1,PLCH1,5.838114575900557
LEF1,MYCN,21.75409778425184
LEF1,ROR1,30.52813082521661
LEF1,WNT7B,14.35537179795641
LEF1,TBR1,4.654368751906573
LEF1,FAM171B,3.465210125369675
LEF1,PLAGL1,13.61547063467138
LEF1,PDGFC,4.149477971712111
LEF1,PABPC1,2.873614206748918
LEF1,GPC1,3.37754693915216
LEF1,YAP1,6.756661192968913
LEF1,L3MBTL4,4.037876405060008
LEF1,TENM4,10.03624228779373
LEF1,GLI3,7.92584129564809
LEF1,ZIC2,14.941523317998028
LEF1,PAX6,3.7768777991216127
LEF1,SYNE2,6.234071915987712
LEF1,DLC1,2.645872159502282
LEF1,LHX5,17.11879546405609
LEF1,LHX5-AS1,8.964952358384545
LEF1,SFRP2,8.48062435016796
LEF1,SLC9A3R1,3.9303741180834
LEF1,ROBO2,2.6931475105437244
LEF1,GRK3,7.957281403435155
LEF1,DACH1,7.76584802271577
LEF1,TCF7L1,7.59631413904014
LEF1,COL24A1,27.135559208909857
LEF1,LYPD6,14.497245132995886
LEF1,DAB1,5.017843423241482
LEF1,LYPD6B,11.272520114476816
LEF1,LRP4,13.413570375549314
LEF1,RRAGD,2.6862493173372965
LEF1,ID4,4.481205218269389
LEF1,PA2G4,2.5705767929398005
LEF1,REV3L,11.20819174496576
LEF1,LRRN1,7.388439017543106
LEF1,HES1,5.38382342484696
LEF1,FAT4,6.079491406635157
LEF1,CTSC,3.755350126273332
LEF1,DMRTA2,37.58235839597038
LEF1,B3GAT2,58.71162661663364
LEF1,HMGN2,4.6734784618483
LEF1,CDH18,6.246253648366193
LEF1,SAMD5,5.213983587048736
LEF1,RBMS3,9.447530699554523
LEF1,FILIP1,19.44244283581705
LEF1,PDP1,4.730398291722188
LEF1,ACKR3,14.171474821169012
LEF1,CLIC1,2.740353160757373
LEF1,SESN3,16.418737435462393
LEF1,OLFM3,34.11382654120712
LEF1,FSTL5,12.951287160514145
LHX1,DMRTA2,5.4224871551521545
LHX1,EPB41,22.331655298309627
LHX1,GRM8,11.91234452447558
LHX1,EBF2,33.187597999886194
LHX1,CXXC5,16.572338290194498
LHX1,FZD1,43.68683771379509
LHX1,INSM1,6.051378349734802
LHX1,LMO1,10.242891581546004
LHX1,ADGRL2,6.496550830848822
LHX1,EMX2OS,13.220600115004515
LHX1,EMX2,14.050739391172424
LHX1,LMO2,16.62336212010967
LHX1,LHX5-AS1,64.07119146946152
LHX1,ADCY2,4.495622961953148
LHX1,MDGA1,9.041433800292792
LHX1,DLC1,17.27334985415661
LHX1,PCDH10,2.5622173676544224
LHX1,CD81,3.2214443287968058
LHX1,EBF3,54.09204493395733
LHX1,RBMS1,6.128207797311958
LHX1,SEMA6A,28.50826197579215
LHX1,ZNF423,8.288229088792436
LHX1,FAM155A,14.414018674485945
LHX1,PROX1,7.276505561741732
LHX1,MDGA2,6.283659717483498
LHX1,NTNG1,2.7553075070980024
LHX1,PTPRG,7.318567267276225
LHX1,CRNDE,21.69103243698156
LHX1,TCAF1,2.7864871422910102
LHX1,ONECUT1,4.7339540275171705
LHX1,NAV2,53.229374263900695
LHX1,WNT7B,10.768420359151
LHX1,ELAVL2,11.657672188093963
LHX1,KCNC2,73.83215705706482
LHX1,NRN1,30.06830574763103
LHX1,CCDC167,2.721156410930456
LHX1,NEUROD1,9.932012944190374
LHX1,GTF2H2,3.6468829044664415
LHX5,UNCX,40.64730524282673
LHX5,EPB41,41.0443885362792
LHX5,FSTL5,43.00778971758493
LHX5,CXXC5,13.371671310006684
LHX5,TBR1,36.8466424717726
LHX5,NR2F2,16.73467386639486
LHX5,NAV2,14.38781686498879
LHX5,ELAVL2,4.735645236278442
LHX5,ERBB4,5.674590254224678
LHX5,ERC2,3.0239952761313
LHX5,SCUBE1,4.280878952704382
LHX5,UNC5C,56.194757372130624
LHX5,SNTG1,3.909693120526313
LHX5,ABCA1,5.563026961094226
LHX5,LHX5-AS1,180.37063295682225
MYCN,ID4,5.249874959828205
MYCN,EMX2OS,3.873044541697168
MYCN,NEUROD2,3.3594200452373184
MYCN,IGFBP5,4.441417241317937
MYCN,LEF1,10.764689388243236
MYCN,LHX2,3.5478752454102738
NRF1,TNRC6B,3.8894115202529713
NRF1,NSD1,3.902334572870572
NRF1,PAXBP1,9.708906255436522
NRF1,LINC00461,2.892060743296398
NRF1,DHRS3,2.7648335263567305
NRF1,DACH1,5.5622573292418815
NRF1,MAML3,3.907532903385112
NRF1,CHD1,3.732276293142864
NRF1,FXN,5.476103255889608
NRF1,CTBP2,9.613378854765893
NRF1,DAPK1,7.87375911489152
NRF1,FOXN3,14.27107640818384
NRF1,NR3C1,2.6743217378970296
NRF1,NFIB,5.7126760430689325
NRF1,DENND5B,4.587229932967007
NRF1,KCNC1,4.360967076200623
NRF1,CDH22,5.969691616804754
NRF1,ASH1L,7.84149758571228
NRF1,SLCO5A1,2.8814436893697453
NRF1,DLEU2,16.18642201877671
NRF1,SNTG1,49.28100012539406
NRF1,LRBA,3.318559944843648
NRF1,IGF2BP2,3.0175459429845457
NRF1,POGZ,4.387626028695826
NRF1,NEDD4L,10.698329082715569
NRF1,SMARCA2,5.747664432322556
NRF1,INSM1,4.889438136390895
NRF1,FAM110B,9.280386973478745
NRF1,DLX1,28.08691439475162
NRF1,DST,18.027336241086072
NRF1,SCAF4,10.33602491283352
NRF1,SBF2,6.320395223907245
NRF1,HAT1,35.88236097314461
NRF1,CDH4,3.428875058283912
NRF1,UBE2S,60.1134937526237
NRF1,JMJD1C,3.186939121820437
NRF1,CDCA7L,6.849238759557704
NRF1,DYRK1A,11.472808087392158
NRF1,CRB1,26.262456374666574
NRF1,B2M,4.276586193055522
NRF1,RARA,3.949022335432073
NRF1,PLEKHA6,4.731014000520768
NRF1,LSM5,17.19645881982733
NRF1,SH3RF3,13.357941168487642
NRF1,CECR2,4.267323294104335
NRF1,GART,4.544013706493263
NRF1,EFCAB2,9.215971963340404
NRF1,RAB3IP,15.77353512989331
NRF1,WWC3,9.055531544710036
NRF1,CUL3,5.499432140731726
NRF1,ZNF704,3.053995847595535
NRF1,FAF1,3.893967935701628
NRF1,SLIT3,8.390188437676814
NRF1,IKBIP,4.899194602745559
NRF1,GAB2,2.4862655953947894
NRF1,MAP1A,12.841767600399573
