name,shared name,type,avgExpression
BHLHE22,BHLHE22,GeneralTF,-1.46956032910659
EGR2,EGR2,NeuroDev,-0.968779890747286
FOXJ1,FOXJ1,NeuroDev,-1.84926470529794
GABPA,GABPA,HSA21TF,0.601451678662171
HMGN3,HMGN3,GeneralTF,-0.264967749187156
LEF1,LEF1,NeuroDev,-2.11021918357554
LHX1,LHX1,NeuroDev,-3.50552982628037
LHX5,LHX5,NeuroDev,-2.83858872449893
MYCN,MYCN,NeuroDisease,-0.226042855734962
NRF1,NRF1,GeneralTF,0.149487467149807
POU2F2,POU2F2,GeneralTF,0.137864004285052
SP3,SP3,GeneralTF,0.192712910428433
TCF4,TCF4,NeuroDisease,-0.121605040496533
TCF7L1,TCF7L1,GeneralTF,-0.71197904234967
TFAP2C,TFAP2C,GeneralTF,-1.47974648001346
UNCX,UNCX,NeuroDev,-1.34503293279945
ZMAT4,ZMAT4,GeneralTF,-1.0030342854437
EBF3,EBF3,NeuroDisease,-0.849234383439898
NEUROD1,NEUROD1,NeuroDev,-2.20739323726664
KCNB2,KCNB2,None,-0.0288190783132671
CTTNBP2,CTTNBP2,NeuroDisease,0.161241288008021
NEUROD2,NEUROD2,NeuroDev,-1.04930067785261
NFIB,NFIB,NeuroDisease,-0.143693766511392
TENM4,TENM4,NeuroDev,-0.537095365360749
ZIC2,ZIC2,NeuroDisease,-2.35268372533395
SH3RF3,SH3RF3,None,1.0976443772507
EOMES,EOMES,NeuroDev,-1.88170592124081
TSPO,TSPO,NeuroDev,-0.989914957280744
NHLH2,NHLH2,NeuroDev,-2.39923610257432
MYRIP,MYRIP,None,0.0720024928619394
KCNH7,KCNH7,None,0.587968948064062
SRGAP3,SRGAP3,None,-0.280345691493139
B3GAT1,B3GAT1,None,-0.201764292421258
SLIT1,SLIT1,NeuroDev,-0.447772704433756
WNT7B,WNT7B,NeuroDev,-3.00574010483952
FAM49A,FAM49A,None,0.250061302510947
CORO2B,CORO2B,None,0.302271782393503
CRABP1,CRABP1,None,-2.59447377435713
ADAMTS19,ADAMTS19,None,-0.250049742048904
EDIL3,EDIL3,None,-0.851447752540609
LYPD6B,LYPD6B,None,-0.729594408143194
KLHL1,KLHL1,NeuroDev,0.109558598945163
ARHGAP42,ARHGAP42,None,-0.458864302527737
AHRR,AHRR,GeneralTF,-1.47470961000616
ZFPM2-AS1,ZFPM2-AS1,None,-1.1453940014081
TMEM121,TMEM121,None,-0.949100182970343
TBR1,TBR1,NeuroDisease,-1.85224361082226
PDE1A,PDE1A,None,-0.504511031169169
LZTS1-AS1,LZTS1-AS1,None,-0.258366838000494
NEUROD6,NEUROD6,NeuroDev,-2.33493117100874
CHRM3,CHRM3,NeuroDev,-0.614346403932021
ID3,ID3,NeuroDev,-2.01152545492935
DCTPP1,DCTPP1,None,-0.511630384091747
ZIC5,ZIC5,NeuroDev,-2.23823261134996
ID4,ID4,NeuroDev,-0.403826429607414
CLU,CLU,NeuroDev,-0.279460050104706
OTX1,OTX1,NeuroDev,-1.48739930940233
PCDHB5,PCDHB5,NeuroDev,-2.17178963599636
RBM47,RBM47,None,-1.24930925201648
WLS,WLS,NeuroDev,-1.5116468535484
ZFP36L1,ZFP36L1,NeuroDev,-1.03654690855089
GNG12-AS1,GNG12-AS1,None,-1.3554324159803
ANKRD9,ANKRD9,None,-1.19347615358332
MYO1E,MYO1E,None,-2.39710832603989
ACKR3,ACKR3,NeuroDev,-0.367570585213731
CRNDE,CRNDE,None,-0.704296321262713
CEP126,CEP126,None,-0.740561868466653
PTN,PTN,NeuroDev,0.0020916545321405
CDC20B,CDC20B,None,-0.971097565318186
LINC01182,LINC01182,None,0.636498195763889
MLF1,MLF1,None,-0.523765505933358
WDR49,WDR49,None,-1.55068619107429
TNRC6B,TNRC6B,NeuroDisease,0.150536947222509
PAXBP1,PAXBP1,HSA21gene,0.513502848632889
RABGAP1L,RABGAP1L,None,0.435048746758475
RASGRF1,RASGRF1,NeuroDev,0.361058822324041
CHD1,CHD1,NeuroDisease,-0.309172337783506
RGL1,RGL1,None,0.424592063433851
CDH22,CDH22,NeuroDev,0.718319602621548
ASH1L,ASH1L,NeuroDisease,0.481624767006741
POGZ,POGZ,NeuroDisease,0.31852911834284
PRMT3,PRMT3,NeuroDev,-0.258217706958589
SCAF4,SCAF4,HSA21gene,0.469410111761104
SFRP2,SFRP2,NeuroDev,-0.674433295843675
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
GNAO1,GNAO1,NeuroDisease,0.358822436030648
PENK,PENK,NeuroDev,1.59119189974528
GART,GART,HSA21gene,0.54630841960655
SMG7,SMG7,None,0.171862675572869
STXBP5L,STXBP5L,None,0.164301865997824
CUL3,CUL3,NeuroDisease,0.0798053655199614
CCDC170,CCDC170,None,0.320656115079148
SLIT3,SLIT3,NeuroDev,-0.860892521575369
PPP1R12B,PPP1R12B,None,0.413965112378775
KMT2E,KMT2E,NeuroDisease,0.161368262916145
UTY,UTY,None,18.0182408309537
SLC35F1,SLC35F1,None,1.39996292248313
MED13L,MED13L,NeuroDisease,0.21280086483982
SON,SON,HSA21gene,0.559122057430528
HCFC2,HCFC2,GeneralTF,0.160873169738325
SST,SST,None,1.32324918533418
CELSR3,CELSR3,None,0.044732382348987
SCAMP5,SCAMP5,None,0.207467357585706
SCD,SCD,None,0.34307102480537
TNRC6A,TNRC6A,None,0.221210887330306
FGF11,FGF11,NeuroDev,-0.659820758889445
BRWD1,BRWD1,HSA21gene,0.522651236002678
GLDC,GLDC,NeuroDisease,-0.147431782886136
EXOC5,EXOC5,None,0.145875195960321
DNAH11,DNAH11,NeuroDev,-0.467485312007934
HMGCS1,HMGCS1,None,0.370918625448171
CEP85L,CEP85L,NeuroDisease,0.438676142479221
PSME4,PSME4,None,-0.415563264422412
CTBP2,CTBP2,GeneralTF,-0.205260156737087
NPAS3,NPAS3,None,-0.174243103612595
GULP1,GULP1,None,-0.335466973905627
MECOM,MECOM,GeneralTF,-0.213994954086585
FZD7,FZD7,NeuroDev,-0.617978047448604
FEZF2,FEZF2,NeuroDev,-2.68578579343858
DMRTA2,DMRTA2,NeuroDev,-2.3884505058005
EMX2OS,EMX2OS,None,-2.20608093854709
FOXP1,FOXP1,NeuroDisease,0.0879010102888182
YAP1,YAP1,NeuroDisease,-0.760592592801739
ADGRB3,ADGRB3,NeuroDev,0.035708170519832
UBASH3B,UBASH3B,None,0.355896148387787
GLI3,GLI3,NeuroDisease,-0.769269493553642
MIR99AHG,MIR99AHG,None,0.742649905070759
SMARCA2,SMARCA2,NeuroDisease,0.441749466290637
PLEKHG1,PLEKHG1,None,-0.581828031424961
LRP4,LRP4,NeuroDev,-0.545346331903575
HES1,HES1,NeuroDev,-1.15141974049029
NR3C2,NR3C2,NeuroDisease,-1.28168628272986
MGAT4C,MGAT4C,None,0.181593970140582
LTBP1,LTBP1,None,-0.570549189160991
