TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
NEUROD2,NEUROD6,183.7686090759618,NeuroDev,-0.8819827722487481,NeuroDev,-1.778177319450938
NFIB,NEUROD2,166.04863153715223,NeuroDisease,-0.43574053190771334,NeuroDev,-0.8819827722487481
ID1,ID3,147.57418385423705,NeuroDev,-1.2720065193842345,NeuroDev,-2.0995687973435
NHLH1,EOMES,145.90541812108495,NeuroDev,-1.809716161722358,NeuroDev,-1.9371316522247064
NEUROG1,NEUROG2,141.57259422777835,NeuroDev,-1.1558750263356052,GeneralTF,-1.8783609436384858
HES4,TTYH1,134.94043308709777,NeuroDev,-0.621264222573984,None,-0.2723228547073532
EOMES,NHLH1,132.47234513520212,NeuroDev,-1.9371316522247064,NeuroDev,-1.809716161722358
TCF4,LINC00461,129.90514257090445,NeuroDisease,-0.1002560281082682,None,-0.13657272434706486
EOMES,ELAVL2,114.87967785178915,NeuroDev,-1.9371316522247064,None,-0.0171223809707756
NEUROD2,NFIB,112.1896120553685,NeuroDev,-0.8819827722487481,NeuroDisease,-0.43574053190771334
NFIB,NEUROD6,111.02651738711118,NeuroDisease,-0.43574053190771334,NeuroDev,-1.778177319450938
NHLH1,SLC22A23,110.27438403665194,NeuroDev,-1.809716161722358,None,-0.28767513476035333
HES1,ID4,107.66745084052886,NeuroDev,-1.5683620336325683,NeuroDev,-0.4071163743052922
NHLH1,ELAVL2,107.59196004148149,NeuroDev,-1.809716161722358,None,-0.0171223809707756
NFIB,BHLHE22,105.21054992624904,NeuroDisease,-0.43574053190771334,GeneralTF,-1.0432137227675806
NEUROG2,NEUROG1,103.40329011313544,GeneralTF,-1.8783609436384858,NeuroDev,-1.1558750263356052
HES4,WDR47,102.87746866416794,NeuroDev,-0.621264222573984,NeuroDev,0.2208438009371127
ID4,HES1,102.29955053266954,NeuroDev,-0.4071163743052922,NeuroDev,-1.5683620336325683
NHLH1,LZTS1,101.71264377644272,NeuroDev,-1.809716161722358,None,-0.08153815153098834
NFIB,ZFPM2-AS1,99.50513019198809,NeuroDisease,-0.43574053190771334,None,-1.2755972430585436
NHLH1,EBF2,98.02677749846022,NeuroDev,-1.809716161722358,GeneralTF,-2.072165635677046
NHLH1,NEUROD1,93.30872105748124,NeuroDev,-1.809716161722358,NeuroDev,-1.9947201859645993
NHLH1,NKAIN4,90.69246591286948,NeuroDev,-1.809716161722358,None,-0.5791513348303787
TCF4,TMEM161B-AS1,88.91442310491523,NeuroDisease,-0.1002560281082682,None,-0.07889570600785153
HES4,SLC9A6,88.52354011881044,NeuroDev,-0.621264222573984,NeuroDisease,0.4701593844477278
HEY2,RSPO3,88.13431047766346,GeneralTF,-1.7866892143295654,None,-2.9463493020213862
BHLHE22,NFIB,87.39696705745953,GeneralTF,-1.0432137227675806,NeuroDisease,-0.43574053190771334
NEUROG1,TFAP2C,86.8512538222269,NeuroDev,-1.1558750263356052,GeneralTF,-1.2192591733775973
ID4,FGFBP3,85.27526503237091,NeuroDev,-0.4071163743052922,None,-0.6462389231118206
TCF4,CRB1,83.53673933566104,NeuroDisease,-0.1002560281082682,NeuroDev,0.36932786641103765
TCF4,SOX5,81.73981239819749,NeuroDisease,-0.1002560281082682,NeuroDisease,-0.4780512626583646
NHLH1,LZTS1-AS1,79.95147770636532,NeuroDev,-1.809716161722358,None,-0.3317814406684103
EOMES,LZTS1,79.4098472757078,NeuroDev,-1.9371316522247064,None,-0.08153815153098834
ID4,ZFP36L1,77.72991195055184,NeuroDev,-0.4071163743052922,NeuroDev,-1.249396806108819
HES1,EGR1,77.62662948604365,NeuroDev,-1.5683620336325683,GeneralTF,-0.4616449709295538
NHLH1,ST18,77.62389932481351,NeuroDev,-1.809716161722358,None,-0.4971923329004572
ID4,HMGN3,76.94306066917801,NeuroDev,-0.4071163743052922,GeneralTF,-0.22025731096894266
EOMES,SLCO5A1,75.34011076127929,NeuroDev,-1.9371316522247064,None,0.2316255680488081
TCF4,PAM,73.97850235318309,NeuroDisease,-0.1002560281082682,NeuroDev,-0.3340799233065129
NEUROG1,EOMES,73.89948191316516,NeuroDev,-1.1558750263356052,NeuroDev,-1.9371316522247064
ID4,METRN,73.72845807707054,NeuroDev,-0.4071163743052922,NeuroDev,-0.5030951771515201
ID4,LHX2,72.84052466739787,NeuroDev,-0.4071163743052922,NeuroDev,-0.9997110811204205
ID4,VIM,72.06343905093983,NeuroDev,-0.4071163743052922,NeuroDev,-0.41965829028995866
NHLH1,AC099792.1,71.82162029841089,NeuroDev,-1.809716161722358,None,-1.0367108151370767
NEUROG2,TFAP2C,70.92020632806287,GeneralTF,-1.8783609436384858,GeneralTF,-1.2192591733775973
HES4,ZNF93,70.85739730324399,NeuroDev,-0.621264222573984,GeneralTF,-0.3280131891622833
ID4,FABP7,70.82691751414727,NeuroDev,-0.4071163743052922,NeuroDev,-0.4843217615884844
NHLH1,CHST8,70.68399379297328,NeuroDev,-1.809716161722358,NeuroDev,-1.0791475127551355
HES4,CLU,69.66401098370096,NeuroDev,-0.621264222573984,NeuroDev,-0.50911839041335
HEY2,CACHD1,67.97313475499816,GeneralTF,-1.7866892143295654,None,-0.7919826455159418
NHLH1,INSM1,67.55600770908349,NeuroDev,-1.809716161722358,NeuroDev,-0.07433511346607255
HES1,TTYH1,67.49090384003442,NeuroDev,-1.5683620336325683,None,-0.2723228547073532
HEY2,PRKG1,67.21106435100256,GeneralTF,-1.7866892143295654,NeuroDev,-0.6005396351958538
NFIB,PDE1A,67.06756505650469,NeuroDisease,-0.43574053190771334,None,-0.7010158622175904
ID4,CDO1,66.59701368422971,NeuroDev,-0.4071163743052922,None,-0.20482911605695375
HES4,FGFR3,66.45210487652507,NeuroDev,-0.621264222573984,NeuroDisease,-1.7197760851258501
ID4,EGR1,66.27447201032128,NeuroDev,-0.4071163743052922,GeneralTF,-0.4616449709295538
TCF4,HDAC9,64.8707449092709,NeuroDisease,-0.1002560281082682,NeuroDev,-0.3975894679486658
NFIB,DACH1,63.4293321895888,NeuroDisease,-0.43574053190771334,None,-0.3291177748642692
HES1,ZFP36L1,62.87319198718122,NeuroDev,-1.5683620336325683,NeuroDev,-1.249396806108819
EOMES,PHLDA1,62.551116633851215,NeuroDev,-1.9371316522247064,None,-0.25563347067075654
HES4,FABP7,62.23414130906694,NeuroDev,-0.621264222573984,NeuroDev,-0.4843217615884844
NFIB,KCNH7,62.126982221060345,NeuroDisease,-0.43574053190771334,None,0.6571983376291627
NHLH1,PCBP4,61.2962820530501,NeuroDev,-1.809716161722358,None,-0.08543464006527808
HES4,GPC1,60.97169357248549,NeuroDev,-0.621264222573984,NeuroDev,-0.13696191495480922
ID4,TTYH1,60.82459797591828,NeuroDev,-0.4071163743052922,None,-0.2723228547073532
ID4,PTX3,60.71064371455134,NeuroDev,-0.4071163743052922,None,-0.21359515364184706
NEUROD1,NEUROD2,60.376623260156194,NeuroDev,-1.9947201859645993,NeuroDev,-0.8819827722487481
TCF4,CECR2,59.69330814877124,NeuroDisease,-0.1002560281082682,NeuroDev,-0.23159359913731112
NFIB,EBF2,59.41048834791438,NeuroDisease,-0.43574053190771334,GeneralTF,-2.072165635677046
NFIB,TCF4,59.06601408140688,NeuroDisease,-0.43574053190771334,NeuroDisease,-0.1002560281082682
NEUROD1,NHLH1,58.96918164254586,NeuroDev,-1.9947201859645993,NeuroDev,-1.809716161722358
TCF4,SETBP1,58.54329085607638,NeuroDisease,-0.1002560281082682,NeuroDisease,0.028009060511954793
NEUROD2,PDE1A,58.53710049839704,NeuroDev,-0.8819827722487481,None,-0.7010158622175904
NHLH1,SLCO5A1,58.15190798781482,NeuroDev,-1.809716161722358,None,0.2316255680488081
NHLH1,CNTN2,57.85107026914572,NeuroDev,-1.809716161722358,NeuroDev,-0.35298912628857265
NHLH1,DLL3,57.50541753966051,NeuroDev,-1.809716161722358,None,0.25516653881217105
TCF4,NFIB,57.48335034995757,NeuroDisease,-0.1002560281082682,NeuroDisease,-0.43574053190771334
