TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
RPL6,RPL9,434.9955978114193,GeneralTF,-0.27235618326369987,None,-0.3588955868540665
RPL6,RPL5,406.0449192597178,GeneralTF,-0.27235618326369987,None,-0.22456963764390644
RPL6,RPS3A,392.45135802482,GeneralTF,-0.27235618326369987,None,-0.3151553146720041
RPL6,RPL18,369.72347453881343,GeneralTF,-0.27235618326369987,None,-0.31284203057475796
RPL6,RPL13,360.1602280267878,GeneralTF,-0.27235618326369987,None,-0.34699110248607656
RPL6,RPS18,355.3060917459805,GeneralTF,-0.27235618326369987,None,-0.2453132775021729
RPL6,RPS14,344.72647181270327,GeneralTF,-0.27235618326369987,None,-0.3879043456537368
NAP1L1,ASH1L,339.4976303882238,NeuroDev,-0.2680984945782962,NeuroDisease,0.4781162357124405
RPL6,RPL15,335.609497876486,GeneralTF,-0.27235618326369987,None,-0.15922764511574855
RPL6,RPL18A,335.43248340690263,GeneralTF,-0.27235618326369987,None,-0.35050275351688864
RPL6,RPS12,329.3628882154818,GeneralTF,-0.27235618326369987,None,-0.2589811731535826
RPL6,RPL24,328.2552979369199,GeneralTF,-0.27235618326369987,None,-0.2464688942809413
RPL6,RPL17,325.8449484341622,GeneralTF,-0.27235618326369987,None,-0.4154307993380327
RPL6,RPS24,324.69194347933507,GeneralTF,-0.27235618326369987,None,-0.28875716663812195
RPL6,RPS15A,316.1276492756828,GeneralTF,-0.27235618326369987,None,-0.27962369381255964
EBF1,LSAMP,308.38048138910466,GeneralTF,0.7943503439548684,NeuroDev,0.1149189879187407
RPL6,RPS7,305.4695485349822,GeneralTF,-0.27235618326369987,NeuroDev,-0.41925054346889484
RPL6,RPL11,299.4391536601545,GeneralTF,-0.27235618326369987,None,-0.267887783342614
NAP1L1,DENND1A,298.45831077045324,NeuroDev,-0.2680984945782962,None,-0.35289124908775016
RPL6,RPS15,297.1391038259581,GeneralTF,-0.27235618326369987,None,-0.25272243730466043
RPL6,RPL10,296.8774650664615,GeneralTF,-0.27235618326369987,NeuroDisease,-0.26554263475449563
RPL6,RPL19,291.4580145292394,GeneralTF,-0.27235618326369987,None,-0.22094260769196078
RPL6,RPS3,290.86469625562205,GeneralTF,-0.27235618326369987,None,-0.32164595440768073
RPL6,RPL8,288.0075038284287,GeneralTF,-0.27235618326369987,None,-0.33860848134827165
RPL6,RPS2,287.51176284048154,GeneralTF,-0.27235618326369987,None,-0.35290085573799557
RPL6,RPS8,281.3278068893451,GeneralTF,-0.27235618326369987,None,-0.25894188218466996
RPL6,RPLP1,279.0134399835477,GeneralTF,-0.27235618326369987,None,-0.23551352508100165
RPL6,RPL27,277.4831101412434,GeneralTF,-0.27235618326369987,None,-0.2112407935093885
RPL6,RPL7A,265.4096153164823,GeneralTF,-0.27235618326369987,None,-0.3408370542446181
LHX1,LHX1-DT,263.67212630060664,NeuroDev,-2.840350915327879,None,-2.3854698186012184
RPL6,RPLP0,257.5427590096347,GeneralTF,-0.27235618326369987,None,-0.21030812571277044
RPL6,RPSA,256.5133130866008,GeneralTF,-0.27235618326369987,None,-0.1958771551922919
RPL6,RPS5,255.75092184648125,GeneralTF,-0.27235618326369987,None,-0.21937732426869103
YBX1,RPL15,248.62207459757977,GeneralTF,-0.1048253496486187,None,-0.15922764511574855
RPL6,SNHG29,248.26967623163512,GeneralTF,-0.27235618326369987,None,-0.18855679649157503
NR2F2,NR2F2-AS1,245.23787736651985,NeuroDev,-0.6551987782534493,None,-1.100934202945153
RPL6,YBX1,244.6782642215343,GeneralTF,-0.27235618326369987,GeneralTF,-0.1048253496486187
RPL6,RPL12,243.1740905513424,GeneralTF,-0.27235618326369987,None,-0.4007171677746609
RPL6,EEF1D,242.30988835160025,GeneralTF,-0.27235618326369987,GeneralTF,-0.3259285795636698
RPL6,GAPDH,241.7051865484828,GeneralTF,-0.27235618326369987,None,-0.3061289218529374
RPL6,RACK1,236.9955813947443,GeneralTF,-0.27235618326369987,None,-0.20549001922942217
ZBTB20,RORA,234.1015549360577,NeuroDisease,0.5240394905732264,NeuroDisease,-0.12873867599993305
RPL6,RPS9,234.00303645234092,GeneralTF,-0.27235618326369987,None,-0.30860847423596854
SOX4,STMN2,232.75169236563391,NeuroDisease,0.2328105103407569,NeuroDev,0.42899151615732
DLX2,DLX1,232.625734681611,NeuroDev,1.0961816152230068,NeuroDev,0.6612559595565047
SOX4,SOX11,219.8864962485419,NeuroDisease,0.2328105103407569,NeuroDisease,0.24233543301072427
HIVEP3,TUBA1C,216.66732738124816,NeuroDisease,-0.006192325335287329,None,-0.10882116789077907
SOX4,TMSB10,216.34522770643275,NeuroDisease,0.2328105103407569,None,0.09158344269211913
RPL6,RPS6,215.68478483542845,GeneralTF,-0.27235618326369987,None,-0.455862410088615
YBX1,RPS12,212.50329749938368,GeneralTF,-0.1048253496486187,None,-0.2589811731535826
YBX1,RPL24,210.30834025696885,GeneralTF,-0.1048253496486187,None,-0.2464688942809413
YBX1,RPL6,208.95915360969963,GeneralTF,-0.1048253496486187,GeneralTF,-0.27235618326369987
NR2F2,AC012409.2,205.83584294338155,NeuroDev,-0.6551987782534493,None,-1.2679590011484467
BCL11B,EBF1,200.8585210572081,NeuroDisease,0.5916065099379418,GeneralTF,0.7943503439548684
YBX1,RPS15A,200.73622102112773,GeneralTF,-0.1048253496486187,None,-0.27962369381255964
DLX1,DLX2,197.3127947648272,NeuroDev,0.6612559595565047,NeuroDev,1.0961816152230068
YBX1,RPS15,195.72383278140936,GeneralTF,-0.1048253496486187,None,-0.25272243730466043
