id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
PPP1R17	PPP1R17	2.70067E+00	0	Unclassified	BrainSpLMD|10842;Eurexp|euxassay_003055|cervical, cervico-thoracic, dorsal root ganglion, glossopharyngeal IX, neural retina, stroma, thoracic, trigeminal V, vestibulocochlear VIII	OMIM|604088
NHLH1	NHLH1	2.58245E+00	0	Transcription factor	BrainSpLMD|4807;Eurexp|euxassay_003709|dorsal root ganglion, glossopharyngeal IX, marginal layer, meninges, neural retina, olfactory, stroma, trigeminal V, ventricular layer;BrainSpMouseDev|17838	OMIM|162360
SSTR2	SSTR2	2.33634E+00	0	G protein coupled receptor	BrainSpLMD|6752;BrainSpMouseDev|20368	OMIM|182452
FHDC1	FHDC1	2.12819E+00	3.26E-06	Cytoskeletal associated protein	BrainSpLMD|85462;Eurexp|euxassay_008555|left lung, oral epithelium, right lung	
EOMES	EOMES	2.10885E+00	2.11E-15	Transcription factor	BrainSpLMD|8320;BrainSpMouseDev|13591	OMIM|604615
SLC17A6	SLC17A6	2.07803E+00	6.26E-14	Membrane transport protein	BrainSpLMD|57084;Eurexp|euxassay_004371|dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, marginal layer, mesenchyme, neural retina, olfactory, spinal cord, stroma, trigeminal V, vagus X, vestibulocochlear VIII;BrainSpMouseDev|80230	OMIM|607563
AC009245.3	AC009245.3	2.04611E+00	6.78E-05			
NRN1	NRN1	1.96457E+00	1.05E-12	Secreted polypeptide	BrainSpLMD|51299;Eurexp|euxassay_003207|bladder, dorsal root ganglion, facial VII, glossopharyngeal IX, hindgut, lobe, mantle layer, marginal layer, mesenchyme, midgut, penis, physiological umbilical hernia, rectum, stroma, trigeminal V, urethra, ventricular layer, vestibulocochlear VIII;BrainSpMouseDev|44246	OMIM|607409
KCNN3	KCNN3	1.93549E+00	0.001220049	Intracellular ligand gated channel	BrainSpLMD|3782	OMIM|602983
EML6	EML6	1.89557E+00	1.97E-06	Unclassified	Eurexp|euxassay_002686|cervical, cervico-thoracic, diencephalon, glossopharyngeal IX, hindbrain, mantle layer, marginal layer, midbrain, neural retina, olfactory, stroma, thoracic, trigeminal V, ventral grey horn	
TMEM158	TMEM158	1.83340E+00	4.90E-12	Unclassified	BrainSpLMD|25907	
PDE1C	PDE1C	1.80983E+00	2.84E-05	Enzyme: Phosphodiesterase	BrainSpLMD|5137;BrainSpMouseDev|18341	SFARI||Autism, No category;OMIM|602987
CLVS1	CLVS1	1.79478E+00	5.83E-08	Unclassified	BrainSpLMD|157807	OMIM|611292
KCNQ3	KCNQ3	1.79399E+00	9.65E-14	Voltage gated channel	BrainSpLMD|3786;Eurexp|euxassay_008387|mantle layer, marginal layer, midgut, rib, ventral grey horn;BrainSpMouseDev|75016	SFARI||Autism, 3 - Suggestive evidence;OMIM|602232;HPO|3786|Abnormality of vision, Autosomal dominant inheritance, Choreoathetosis, Deeply set eye, Dysesthesia, Dyskinesia, Focal clonic seizures, Generalized tonic-clonic seizures, Hypertonia, Muscular hypotonia, Myoclonus, Reduced consciousness/confusion, Seizures
SETD7	SETD7	1.78066E+00	4.68E-09	Enzyme: Methyltransferase	BrainSpLMD|80854;BrainSpMouseDev|49092	OMIM|606594
PTPRK	PTPRK	1.57664E+00	0.000145884	Receptor tyrosine phosphatase	BrainSpLMD|5796;Eurexp|euxassay_009627|mantle layer, marginal layer, midgut, stomach, ventral grey horn, vibrissa;BrainSpMouseDev|19035	OMIM|602545;COSMIC||colorectal
SEZ6	SEZ6	1.52020E+00	7.78E-09	Integral membrane protein	BrainSpLMD|124925	OMIM|616666
GNG4	GNG4	1.50519E+00	0.000128576	G protein	BrainSpLMD|2786	OMIM|604388
RFX7	RFX7	1.48393E+00	0.004637656	Unclassified	BrainSpLMD|64864	OMIM|612660
SORBS2	SORBS2	1.46009E+00	2.22E-16	Adapter molecule	BrainSpLMD|8470;Eurexp|euxassay_012430|axial skeleton, cochlea, excretory component, exoccipital bone, mantle layer, metatarsus, nasal septum, otic capsule, petrous part, phalanx, skeletal muscle, submandibular gland primordium, tarsus, thyroid, turbinate, ventricle, ventricular layer	OMIM|616349
NEUROD1	NEUROD1	1.45606E+00	2.54E-05	Transcription factor	BrainSpLMD|4760;Eurexp|euxassay_019467|dorsal grey horn, dorsal root ganglion, glossopharyngeal IX, mantle layer, marginal layer, neural retina, olfactory, pancreas, pineal primordium, pituitary, trigeminal V, vagus X, ventral grey horn, ventricular layer, vestibulocochlear VIII, vomeronasal organ;BrainSpMouseDev|17779	OMIM|601724;HPO|4760|Autosomal dominant inheritance, Maturity-onset diabetes of the young
LRP8	LRP8	1.44920E+00	8.89E-14	Cell surface receptor	BrainSpLMD|7804;BrainSpMouseDev|16745	OMIM|602600
PENK	PENK	1.38578E+00	6.36E-05	Peptide hormone	BrainSpLMD|5179;BrainSpMouseDev|18385	OMIM|131330
UNC5D	UNC5D	1.38449E+00	6.19E-10	Unclassified	BrainSpLMD|137970;Eurexp|euxassay_012466|basal plate, clavicle, incisor, lip, mantle layer, molar, palatal shelf, respiratory, ventral grey horn, ventricular layer, vibrissa;BrainSpMouseDev|84240	OMIM|616466
SLC22A23	SLC22A23	1.38005E+00	1.68E-07	Integral membrane protein	BrainSpLMD|63027	OMIM|611697
CHRDL1	CHRDL1	1.37996E+00	9.99E-06	Secreted polypeptide	BrainSpLMD|91851	OMIM|300350
