id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
ANGPT2	ANGPT2	2.66437E+00	4.99E-09	Ligand	BrainSpLMD|285;Eurexp|euxassay_010627|aorta, interdigital region between digits 1 and 2, interdigital region between digits 2 and 3, interdigital region between digits 3 and 4, interdigital region between digits 4 and 5;BrainSpMouseDev|11388	OMIM|601922
BEST3	BEST3	2.58036E+00	1.11E-16	Integral membrane protein	BrainSpLMD|144453	OMIM|607337
NKX2.1	NKX2.1	2.48564E+00	0			
ZSWIM5	ZSWIM5	2.45961E+00	7.62E-13	Unclassified		SFARI||Autism, 6 - Evidence does not support role
LHX6	LHX6	2.41027E+00	0	Transcription factor	BrainSpLMD|26468;BrainSpMouseDev|16645	OMIM|608215
FNDC5	FNDC5	2.32608E+00	1.07E-07	Adhesion molecule	BrainSpLMD|252995;Eurexp|euxassay_011781|skeletal muscle	OMIM|611906
PLXNA4	PLXNA4	2.24805E+00	0	Unclassified	BrainSpLMD|91584;Eurexp|euxassay_009720|cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, thoracic, trigeminal V, vagus X;BrainSpMouseDev|89119	SFARI||Autism, 3 - Suggestive evidence;OMIM|604280
KITLG	KITLG	2.16175E+00	8.63E-09	Growth factor	BrainSpLMD|4254;Eurexp|euxassay_003584|dorsal root ganglion, glomeruli, mantle layer, marginal layer, naris, neural retina, olfactory, olfactory cortex, stroma, thymus primordium, trachea, ventral grey horn, ventricular layer, vibrissa;BrainSpMouseDev|17080	OMIM|184745;HPO|4254|Autosomal dominant inheritance, Cafe-au-lait spot, Heterochromia iridis, Hyperkeratosis, Hypopigmented skin patches, Infantile onset, Multiple lentigines, Premature graying of hair, Progressive hyperpigmentation, Sensorineural hearing impairment, White forelock
GAD2	GAD2	2.07124E+00	6.50E-12	Enzyme: Decarboxylase	BrainSpLMD|2572;Eurexp|euxassay_001769|dorsal grey horn, lateral ventricle, mantle layer;BrainSpMouseDev|14193	OMIM|138275
KCND3	KCND3	1.96584E+00	0.000115546	Voltage gated channel	BrainSpLMD|3752	OMIM|605411;HPO|3752|Autosomal dominant inheritance, Cerebellar atrophy, Dysarthria, Dysphagia, Gait ataxia, Gaze-evoked horizontal nystagmus, Hyporeflexia, Intermittent microsaccadic pursuits, Limb ataxia, Myoclonus, Palpitations, Postural tremor, Progressive cerebellar ataxia, Slow progression, Truncal ataxia
HIST2H2BE	HIST2H2BE	1.95658E+00	0.000604102	DNA binding protein	BrainSpLMD|8349	OMIM|601831
PLS3	PLS3	1.91331E+00	0	Structural protein	BrainSpLMD|5358	OMIM|300131;HPO|5358|Osteopenia, Osteoporosis, Vertebral compression fractures, X-linked dominant inheritance
SACS	SACS	1.83669E+00	2.68E-11	Unclassified	BrainSpLMD|26278;Eurexp|euxassay_014163|dorsal root ganglion, facial VII, glossopharyngeal IX, trigeminal V, vagus X	OMIM|604490;HPO|26278|Absent Achilles reflex, Autosomal recessive inheritance, Babinski sign, Cerebellar vermis atrophy, Decreased motor nerve conduction velocity, Decreased nerve conduction velocity, Decreased number of large peripheral myelinated nerve fibers, Decreased sensory nerve conduction velocity, Distal amyotrophy, Distal muscle weakness, Distal sensory impairment, Dysarthria, Dysmetria, Falls, Hammertoe, Hypermyelinated retinal nerve fibers, Hyperreflexia, Impaired smooth pursuit, Impaired vibration sensation in the lower limbs, Infantile onset, Intellectual disability, Loss of Purkinje cells in the cerebellar vermis, Nystagmus, Pes cavus, Progressive gait ataxia, Progressive truncal ataxia, Scanning speech, Spastic ataxia, Spasticity, Swan neck-like deformities of the fingers, Urinary urgency
RP11.588P7.2	RP11.588P7.2	1.82692E+00	2.07E-08			
ZNF536	ZNF536	1.82511E+00	1.32E-14	DNA binding protein	BrainSpLMD|9745;Eurexp|euxassay_015751|adrenal gland, bladder, brain, cochlea, dorsal root ganglion, forelimb, glossopharyngeal IX, hindgut, hindlimb, limb, loop, lung, mandible, medullary stroma, midgut, molar, oesophagus, olfactory, penis, pituitary, rectum, retina, spinal cord, stomach, thyroid, trigeminal V, turbinate bones, vagus X, vestibulocochlear VIII, vibrissa	
MOB3B	MOB3B	1.81050E+00	3.82E-05	Unclassified	BrainSpLMD|79817;Eurexp|euxassay_011555|incisor, molar	OMIM|617652
ETV1	ETV1	1.80265E+00	0.00092306	Transcription factor	BrainSpLMD|2115;BrainSpMouseDev|13786	OMIM|600541;COSMIC||Ewing sarcoma, prostate
PIP5K1B	PIP5K1B	1.79816E+00	1.81E-07	Lipid Kinase	BrainSpLMD|8395	OMIM|602745
RBP1	RBP1	1.78258E+00	6.35E-14	Transport/cargo protein	BrainSpLMD|5947;Eurexp|euxassay_003315|brain, corpus striatum, forelimb, hindbrain, hindlimb, mantle layer, midgut, olfactory lobe, telencephalon, turbinate bones	OMIM|180260
STXBP4	STXBP4	1.69950E+00	0.003749241	Adapter molecule	BrainSpLMD|252983	OMIM|610415
GAD1	GAD1	1.69881E+00	2.33E-15	Enzyme: Decarboxylase	BrainSpLMD|2571;Eurexp|euxassay_005634|cerebral cortex, corpus striatum, hindbrain, incisor, mantle layer, marginal layer, molar, olfactory lobe, oral region, spinal cord, telencephalon;BrainSpMouseDev|14191	SFARI||Autism, 5 - Hypothesized but untested;OMIM|605363;HPO|2571|Autosomal recessive inheritance, Babinski sign, Cerebral palsy, Flexion contracture, Global developmental delay, Heterogeneous, Hyperreflexia, Infantile onset, Intellectual disability, Microcephaly, Scoliosis, Seizures, Spastic diplegia, Spastic tetraplegia
FAM65B	FAM65B	1.69707E+00	4.37E-10			
RP11.384F7.2	RP11.384F7.2	1.68965E+00	3.48E-08			
DCLK2	DCLK2	1.66792E+00	4.83E-11	Serine/threonine kinase	BrainSpLMD|166614;Eurexp|euxassay_009796|associated mesenchyme, brain, cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, nasal cavity, neural retina, spinal cord, thoracic, trigeminal V, vagus X, vestibulocochlear VIII	OMIM|613166
SOX6	SOX6	1.66079E+00	0	Transcription factor	BrainSpLMD|55553;BrainSpMouseDev|20441	OMIM|607257
DLX5	DLX5	1.62989E+00	1.89E-15	Transcription regulatory protein	BrainSpLMD|1749;BrainSpMouseDev|13174	OMIM|600028;HPO|1749|Autosomal recessive inheritance, Finger syndactyly, Oligodactyly, Sensorineural hearing impairment, Split foot, Split hand
