id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
SLN	SLN	3.82407E+00	0	Integral membrane protein	BrainSpLMD|6588;Eurexp|euxassay_005363|atrium, mesenchyme, skeletal muscle, tail, tongue, vertebral axis muscle system	OMIM|602203
PMCHL2	PMCHL2	3.38710E+00	0	Peptide hormone	BrainSpLMD|5370	OMIM|176794
CPNE8	CPNE8	3.37378E+00	0	Unclassified	BrainSpLMD|144402	
CBLN2	CBLN2	2.99893E+00	0	Integral membrane protein	BrainSpLMD|147381;Eurexp|euxassay_009791|cervico-thoracic, dorsal root ganglion, glossopharyngeal IX, mantle layer, mesenchyme, midgut, organ system, thoracic, trigeminal V, vagus X, vestibulocochlear VIII;BrainSpMouseDev|12190	OMIM|600433
STK32B	STK32B	2.78844E+00	0	Serine/threonine kinase	BrainSpLMD|55351;Eurexp|euxassay_011693|exoccipital bone, fibula, footplate, hip, marginal layer, nasal septum, orbito-sphenoid, otic capsule, petrous part, rib, thyroid, tibia, trachea, turbinate, vault of skull, ventral grey horn	
RP11.136K7.2	RP11.136K7.2	2.69822E+00	0			
KCNQ5.IT1	KCNQ5.IT1	2.63993E+00	0			
RSPO3	RSPO3	2.58902E+00	0	Ligand;Extracellular matrix protein	BrainSpLMD|84870;Eurexp|euxassay_011723|mantle layer, mesenchyme, orbito-sphenoid, pectoral girdle and thoracic body wall, penis;BrainSpMouseDev|48621	OMIM|610574;COSMIC||colorectal
KCNV1	KCNV1	2.57821E+00	0	Voltage gated channel	BrainSpLMD|27012	OMIM|608164
HSPA12A	HSPA12A	2.44256E+00	0	Heat shock protein	BrainSpLMD|259217	OMIM|610701
PCDH11Y	PCDH11Y	2.41038E+00	1.54E-13	Adhesion molecule	BrainSpLMD|83259	OMIM|400022
CALN1	CALN1	2.39734E+00	0	Calcium binding protein	BrainSpLMD|83698	OMIM|607176
VSTM2L	VSTM2L	2.36493E+00	0	Unclassified	BrainSpLMD|128434;Eurexp|euxassay_007444|embryo	OMIM|616537
PEX5L	PEX5L	2.28957E+00	4.98E-12	Unclassified	BrainSpLMD|51555;BrainSpMouseDev|37432	OMIM|611058
