id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
DNM2	DNM2	3.18697E+00	2.52E-05	GTPase	BrainSpLMD|1785	OMIM|602378;COSMIC||T-ALL, Charcot-Marie-Tooth disease, centronuclear myopathy, lethal congenital contracture syndrome 5;HPO|1785|Areflexia, Autosomal dominant inheritance, Autosomal recessive inheritance, Axonal degeneration, Centrally nucleated skeletal muscle fibers, Congenital contracture, Congenital onset, Death in infancy, Decreased fetal movement, Decreased nerve conduction velocity, Decreased number of peripheral myelinated nerve fibers, Distal amyotrophy, Distal muscle weakness, Distal sensory impairment, Easy fatigability, Elevated serum creatine phosphokinase, External ophthalmoplegia, Facial palsy, Flexion contracture, Generalized hypotonia, Heterogeneous, Hyporeflexia, Juvenile onset, Motor delay, Onion bulb formation, Pes cavus, Polyhydramnios, Proximal muscle weakness, Ptosis, Respiratory insufficiency, Retinal hemorrhage, Segmental peripheral demyelination/remyelination, Sleepy facial expression, Slow progression, Small for gestational age, Thin ribs
CRHR2	CRHR2	3.12660E+00	4.72E-10	G protein coupled receptor	BrainSpLMD|1395;BrainSpMouseDev|12705	SFARI||Autism, 5 - Hypothesized but untested;OMIM|602034
EOMES	EOMES	3.11838E+00	0	Transcription factor	BrainSpLMD|8320;BrainSpMouseDev|13591	OMIM|604615
MFNG	MFNG	3.01185E+00	7.21E-10	Enzyme: Glucosaminyltransferase	BrainSpLMD|4242;Eurexp|euxassay_018043|bladder, hindgut, lung, metanephros, midgut, neural retina, oesophagus, olfactory, pituitary, stomach, thymus primordium, ventricular layer, vomeronasal organ	OMIM|602577
CDHR1	CDHR1	2.78485E+00	1.63E-05	Adhesion molecule	BrainSpLMD|92211;Eurexp|euxassay_009099|cortex, dorsal root ganglion, extrinsic ocular muscle, facial VII, glossopharyngeal IX, mantle layer, marginal layer, medullary tubules, naris, olfactory, pancreas, sublingual gland primordium, submandibular gland primordium, thymus primordium, trigeminal V, ventral grey horn, ventricular layer, vestibulocochlear VIII, vibrissa, vomeronasal organ;BrainSpMouseDev|81990	OMIM|609502;HPO|92211|Abnormal electroretinogram, Abnormality of color vision, Abnormality of retinal pigmentation, Abnormality of the retinal vasculature, Abnormality of the testis, Anteverted nares, Atypical scarring of skin, Autosomal recessive inheritance, Blindness, Cataract, Conductive hearing impairment, Cone/cone-rod dystrophy, Glaucoma, Hyperinsulinemia, Hypogonadism, Hypoplasia of penis, Intellectual disability, Keratoconus, Nyctalopia, Nystagmus, Obesity, Ophthalmoplegia, Optic atrophy, Photophobia, Progressive night blindness, Progressive visual loss, Rod-cone dystrophy, Sensorineural hearing impairment, Wide nasal bridge
SMOC1	SMOC1	2.77556E+00	1.53E-06	Extracellular matrix protein;Calcium binding protein	BrainSpLMD|64093;Eurexp|euxassay_003378|aorta, axial muscle, axial skeleton, cochlea, dorsal grey horn, hyoid bone, mantle layer, marginal layer, medulla, medullary region, meninges, mesenchyme, metatarsus, naris, nasal septum, pancreas, phalanx, saccule, thyroid, turbinate bones, ventral grey horn, ventricle, ventricular layer	OMIM|608488;HPO|64093|Abnormal form of the vertebral bodies, Abnormality of the cardiovascular system, Abnormality of the eyebrow, Abnormality of the hair, Abnormality of the metacarpal bones, Anophthalmia, Autosomal recessive inheritance, Bilateral single transverse palmar creases, Blepharophimosis, Camptodactyly of 2nd-5th fingers, Cleft palate, Cleft upper lip, Clinodactyly of the 5th finger, Deep philtrum, Depressed nasal bridge, Downslanted palpebral fissures, Failure to thrive, Fibular hypoplasia, Finger syndactyly, Flared nostrils, Foot oligodactyly, Frontal bossing, Fused fourth and fifth metacarpals, Hand oligodactyly, High palate, Hip dislocation, Hypoplasia of the maxilla, Intellectual disability, Intellectual disability, moderate, Intellectual disability, severe, Large earlobe, Low-set ears, Low-set, posteriorly rotated ears, Microphthalmia, Optic atrophy, Postaxial foot polydactyly, Postaxial hand polydactyly, Posteriorly rotated ears, Postnatal growth retardation, Prominent forehead, Retrognathia, Sandal gap, Short nose, Short palpebral fissure, Short stature, Short tibia, Single transverse palmar crease, Synostosis of carpal bones, Talipes equinovarus, Tarsal synostosis, Tibial bowing, Toe syndactyly, True anophthalmia
NEUROD4	NEUROD4	2.72068E+00	1.11E-16	Transcription factor	BrainSpLMD|58158;Eurexp|euxassay_019457|intermediate grey horn, lung, neural retina, pineal primordium, pituitary, ventricular layer;BrainSpMouseDev|11709	OMIM|611635
NHLH1	NHLH1	2.61165E+00	2.98E-12	Transcription factor	BrainSpLMD|4807;Eurexp|euxassay_003709|dorsal root ganglion, glossopharyngeal IX, marginal layer, meninges, neural retina, olfactory, stroma, trigeminal V, ventricular layer;BrainSpMouseDev|17838	OMIM|162360
PPP1R17	PPP1R17	2.50635E+00	9.13E-12	Unclassified	BrainSpLMD|10842;Eurexp|euxassay_003055|cervical, cervico-thoracic, dorsal root ganglion, glossopharyngeal IX, neural retina, stroma, thoracic, trigeminal V, vestibulocochlear VIII	OMIM|604088
IGFBPL1	IGFBPL1	2.46962E+00	1.17E-10	Unclassified		OMIM|610413
MYCL	MYCL	2.45210E+00	9.99E-06	Unclassified;Transcription factor	BrainSpLMD|4610;Eurexp|euxassay_019480|bladder, intermediate grey horn, larynx, lung, mantle layer, marginal layer, metatarsus, oesophagus, olfactory, oral epithelium, phalanx, pharyngo-tympanic tube, stomach, urethra, ventricular layer, vibrissa, vomeronasal organ;BrainSpMouseDev|16688	OMIM|164850;COSMIC||small cell lung carcinoma
